script,label
LEON,2
Of course he's moody,3
 He thinks he's in love,3
HAWKINS,2
In love? With who?,3
 Paulie delivers the drinks and sets some cigars on the table,1
  Takes a seat next to Eddie,1
  Eddie asks Hawkins,1
EDDIE,2
How old are your kids?,3
HAWKINS,2
My kids? Let's see,3
Susan's 15,3
  Aundrea's 9,3
 Don't tell me you're thinking about having a kid! How old are you? Never mind,3
"  Let me just tell you this: Every stupid cliche you hear about kids - they change your life, they make you a better person, they make you whole",3
  beat,4
" It's all true! Before I had kids when friends talked about their kids, I wanted to vomit",3
 Now -- I get it,3
" Am I right, Leon?",3
LEON,2
Absomotherfuckin'lutely,3
 You can have all three of my ex-wives,3
 But somebody so much as looks sideways at my four girls -- I'd kill 'em,3
   takes out his wallet,4
 You haven't seen my youngest have you?,3
 As he hands pictures to Hawkins his cell phone rings,1
LEON (CONT'D),2
Yeah?,3
HAWKINS,2
"Paulie, you've got kids, right?",3
PAULIE,2
My kids don't talk to me anymore but they were great when they were young,3
LEON,2
 into the phone,4
 Sure it's him? Great!  collapses the phone,3
 Unique's home,3
 They all rise from the table,1
EDDIE,2
"Paulie, I need the cure",3
PAULIE,2
Step into my office,3
 Leon and Hawkins sit back down as Eddie and Paulie leave,1
HAWKINS,2
So you got your kids listening to Opera?  You still singing in the church on the weekends?,3
 INT,5
 SECONDARY IMMIGRATION OFFICE - DAY,5
 Now other officers are questioning Emil and Oleg,1
  They've been there a while,1
  The SECONDARY OFFICER is looking Oleg,1
SECONDARY OFFICER,2
Okay,3
 You work in a vodka factory,3
 I understand that,3
  to Emil,4
 And what kind of work do you do?,3
EMIL,2
I am butcher,3
SECONDARY OFFICER,2
You're a butcher? What do you use pig intestines for?,3
EMIL,2
You stuff sausage in it,3
SECONDARY OFFICER,2
And what do you do with the bones?,3
EMIL,2
Dog food,3
 Emil looks at Oleg,1
  Blaming his stupid responses at Passport Control for their detainment,1
SECONDARY OFFICER,2
Are you married?,3
EMIL,2
No,3
 Are you proposing?,3
 ANGLE UP,0
 through a thousand ICE CUBES,1
  A face plunges towards us,1
 INT,5
 MENS ROOM,5
 Eddie has his back to us as he dunks his face into a sink full of ice,1
"  He dries his face, looks into his bloodshot eyes",1
  Presents a small black ring box to the mirror,1
EDDIE,2
Will you marry me? Wanna get married?  What are you doin' Saturday?,3
 Leon enters,1
  Eddie turns,1
EDDIE (CONT'D),2
I'm gonna propose,3
LEON,2
When?,3
EDDIE,2
Tomorrow,3
 At lunch,3
LEON,2
You ready?,3
 Eddie leans back and drops some Visine in his eyes,1
  Turns,1
EDDIE,2
The thrill of the hunt,3
 I love it,3
 EXT,5
 TIMES SQUARE - DAY,5
 Oleg and Emil stare at the bright lights - all the nonstop action,1
  Each stands with an old suitcase,1
OLEG,2
 in Russian,4
 Look,3
 Times Square,3
 Just like in the movies!,3
EMIL,2
 in Czech,4
 Don't speak Russian!,3
OLEG,2
 in Russian,4
 Why? Why do I always have to speak to you in Czech?,3
EMIL,2
 in Czech,4
 Because I don't like your ugly language,3
  I heard enough of it in school! Now speak Czech or English,3
 And don't fool around anymore,3
 You almost got us thrown out!,3
 Emil pulls out an envelope with Milos' address on it,1
  This is who they came to see,1
  Emil hails a CAB,1
  Oleg is staring inside a camera store - at himself on a monitor,1
  A videocamera's pointed out in the street,1
OLEG,2
Look,3
 New videocameras,3
 Color viewfinder,3
 Image stabilization,3
  Solarization,3
 Night vision,3
EMIL,2
We have no money,3
 Come on,3
 Oleg stares at the videocamera - dying to have one like this,1
  Emil slides into the cab,1
CABBIE,2
"Where you wanna go, buddy?",3
 Emil pulls out the post-marked envelope,1
  Points to the return address on it and passes it through the slot to the Cabbie,1
EMIL,2
Here,3
 Emil looks out the window - no sign of Oleg,1
"  Then, Oleg hurries out the camera store, gripping something inside his coat",1
"  He flings both suitcases in the trunk, SLAMS it shut  and jumps in the back seat",1
  He opens his jacket - pulling out the VIDEOCAMERA he just stole,1
EMIL (CONT'D),2
Go!,3
 Oleg smiles sheepishly at Emil,1
  ,0
 EXT,5
 SPANISH HARLEM - DAY,5
 Eddie's car pulls up,1
"  Eddie, Leon and Hawkins get out",1
HAWKINS,2
So what's unique?,3
EDDIE,2
Not what,3
 Who,3
 Eddie passes Hawkins a Polaroid - of a woman on a bed - covered in blood,1
EDDIE (CONT'D),2
He's from Antigua,3
 His girlfriend was taking too long to put her make-up on,3
  they were late for a party,3
 Stabbed her with a beer bottle,3
HAWKINS,2
That's unique,3
EDDIE,2
Yeah,3
 And he still went to the party,3
 Leon moves to a LOOKOUT - gives him a twenty,1
LOOKOUT,2
Top floor,3
 Back room,3
EDDIE,2
Yeah,3
" I make big cases, they make the news and I look good",3
 But the problem with becoming a star is downtown,3
 They shoot at stars,3
 Now be quiet,3
 Shhh,3
 As they reach the doorway - Eddie surprises two crackheads,1
  Waves them off,1
  They hurry away,1
EDDIE (CONT'D),2
I hope this prick doesn't run,3
 My knees are killing me,3
 Stay behind me,3
HAWKINS,2
You're worried for my safety,3
 I'm touched,3
 Eddie flattens against the building - watches Unique descend the fire escape,1
HAWKINS (CONT'D),2
Ready?,3
EDDIE,2
Keep them out of my way,3
HAWKINS,2
Okay,3
 You ready?,3
EDDIE,2
"Yeah, yeah",3
 Jesus,3
 Eddie closes in,1
HAWKINS,2
 into his cell phone,4
" COME ON! COME ON! YOU FUCKING GUYS, LET'S MOVE IT!",3
" Unique is climbing down the fire escape - before he gets to the bottom, Leon bursts through a door behind him and kicks the fire escape, sending Unique flying into the alley",1
  Where he lands dropping his gun,1
 Eddie pulls him off the ground as Leon scoops the gun up,1
EDDIE,2
What's your rush? Going to a party?,3
UNIQUE,2
"Why you chasin' me, man?",3
EDDIE,2
I don't know,3
 You always come outta your house that way?,3
UNIQUE,2
"It's not my house, man",3
 I don't live here,3
EDDIE,2
"Well, sounds like burglary to me",3
 Leon cuffs Unique who recognizes Eddie,1
UNIQUE,2
I know you man,3
 An unmarked van comes tearing into the scene,1
  Disgorges a mini-cam team that starts filming but they missed the bust,1
HAWKINS,2
 to Eddie,4
 Any chance we can do that again?,3
EDDIE,2
Again? I didn't wanna do it the first time,3
   ,0
 EXT,5
 EAST SIDE - LATE DAY,5
 The cab is in front of an old five-story brownstone,1
"  Oleg gets the bags out of the trunk as Emil tucks the envelope into his jacket, then steps up to the old building",1
  He looks back at Oleg - who's VIDEOTAPING him,1
EMIL,2
Turn that off! Get the bags,3
OLEG,2
Why should I carry your bag? I am not a dog,3
EMIL,2
For five years I paid for your stupidness - you'll carry my bag for the rest of my life if I say so,3
  challenging,4
" Unless you refuse, Oleg",3
 Oleg looks at Emil,1
"  Even though Oleg is stronger than Emil, he fears him",1
  He picks up both bags,1
  Emil searches the occupant list over the buzzers to the apartment building,1
EMIL (CONT'D),2
There,3
 5RW,3
 Emil pushes ten of the buzzers except 5RW,1
  A BUZZER clicks and Emil pushes it open,1
 INT,5
 MILOS' APARTMENT BUILDING - STAIRWELL - DAY,5
 The brownstone has no elevator so Emil and Oleg climb the stairs,1
 Oleg cradling his camera,1
  Emil notices a crack pipe on the floor and picks it up,1
  Smells the bowl,1
OLEG,2
What?,3
EMIL,2
Smell like chemicals,3
for smoking drugs,3
" Emil pockets the pipe and climbs to the top floor, moving down the dirty hallway to a corner door",1
 INT,5
 MILOS' APARTMENT BUILDING - HALLWAY - DAY,5
 He KNOCKS,1
FOOTSTEPS approach,1
"  The door is opened by MILOS - a 40-year-old Czech, dressed in stained plumbers overalls",1
  He  is surprised to see Emil and Oleg in his doorway,1
  Oleg films him,1
MILOS,2
Emil???!,3
EMIL,2
Surprise! Surprise!,3
" Milos shoots a look across the tiny kitchen to TAMINA, his comely wife",1
 INT,5
 MILOS' APARTMENT - CONTINUOUS,5
 Emil pushes his way inside,1
  Oleg follows,1
  Milos wears plumbers overalls but Emil notices sports a Rolex,1
"  Tamina has on a faded dress but despite their cheaply furnished apartment she wears an expensive brushed gold necklace, bracelet and big pearl earrings",1
  The room is furnished with kitsch from Disney World and Las Vegas,1
  The only anomaly is a HUGE SONY TRINITRON HOME ENTERTAINMENT CENTER,1
  The following is in Czech and subtitled in English,4
EMIL,2
Your sister said she didn't know where you were so you shouldn't write to her with return address if you're hiding,3
 ,0
MILOS,2
Did you hurt her?,3
EMIL,2
You know me,3
I never hurt anybody,3
  Where's the money?,3
OLEG,2
"Hello, Tamina",3
 Oleg is looking Tamina over,1
  Milos - though scared - barks at Oleg,1
MILOS,2
"Take your eyes off her, Oleg!  to Emil",3
 Look,3
 It wasn't my fault you two were caught,3
  of Oleg,4
 It's his fault,3
 Trying to get the bank clerk's phone number?! I wasn't going to wait!!!,3
EMIL,2
Milos,3
 Get my money!,3
 Oleg videotapes the scene,1
 CLOSE ON AN AJAR DOOR,0
 All we see behind it is a WOMAN'S FACE and her wet hair - she obviously came from the shower and we see the towel wrapped around her,1
MILOS,2
 nervously,4
 We spent it!,3
EMIL,2
Ha,3
 Ha,3
MILOS,2
Look at the way we live,3
 I'm a plumber,3
  You think I'd be working if I had money?!,3
" Emil, pissed, moves to a wood block and pulls out a KITCHEN KNIFE",1
"  He grabs Tamina roughly, putting the blade to her throat",1
MILOS (CONT'D),2
Emil,3
 Put down the knife,3
 Milos looks at his wife - who is terrified,1
MILOS (CONT'D),2
Emil,3
 I'll help you,3
 Milos closes the gap between him and Emil - trying to calm him by talking softly,1
MILOS (CONT'D),2
I can get you a job,3
EMIL,2
A job?,3
MILOS,2
"Yes, the money is good",3
EMIL,2
As a plumber?!,3
MILOS,2
It's easy to learn,3
EMIL,2
A job?? As a plumber??? You think I come to America to work!,3
MILOS,2
"We started over, you can too",3
EMIL,2
 furious,4
 You spent all the money while I was in prison? Now you tell me to get a job fixing toilets?!?,3
 Emil pulls the knife away from Tamina - then angrily PLUNGES it toward Milos' chest!,1
 Oleg videotapes it,1
  Then lowers the camera - shocked that Emil killed Milos,1
 Blood sprays Tamina's face,1
"  She tries to run but Oleg grabs her, not noticing her brushed gold bracelet falls to the floor",1
  He covers her mouth as he points the videocamera at Emil who STABS Tamina - absolutely enraged!,1
 THE WOMAN BEHIND THE DOOR,1
 flees,1
Emil hears NOISE in the bedroom - a window opening,1
  Emil kicks the bedroom door open,1
  Sees the window leading to the fire escape,1
  He dashes to it,1
"  Sees four flights down - the WOMAN, wearing a summer dress",1
  Barefoot,1
  Her hair still wet,1
  ,0
 She looks up,1
  She is beautiful and terrified,1
  She runs down the alley,1
EMIL (CONT'D),2
She saw!,3
 Emil hurries toward the bathroom,1
  She just got out of the shower,1
  Her underwear and purse are draped over a chair,1
  Emil grabs the purse,1
  Finds a CZECHOSLOVAKIAN PASSPORT,1
"  He opens the cover, stares at her photo and name",1
EMIL (CONT'D),2
Daphne Hanlova,3
 There's one stamp in the passport - from the U,1
S,1
" when she arrived - June 16, 1998",1
  Underneath is written - 6 MONTH STAY,1
  Emil flips through the rest of the passport - all blank pages,1
EMIL (CONT'D),2
Six month visa,3
 Still here two years later,3
 They'll deport her if she goes to Police,3
" Emil pockets Daphne's passport and wallet, scoops up her shoes and jacket - enters the kitchen and dumps them on the floor",1
"  He tears through the kitchen cabinets, throwing cans and bottles aside",1
OLEG,2
What are you looking for?,3
 Emil finds nail polish remover - looks at the bodies,1
EMIL,2
I'm going to make a bohemian barbecue,1
EXT,5
 CENTRAL PARK - NIGHT,5
 A face comes from the darkness,1
"  It's an athletically handsome man, jogging out of a tunnel towards us",1
  He's in a tie and jacket in Central Park at NIGHT,1
  He is JORDAN JORDY,1
 WARSAW,1
  A sensitive man of rugged honesty,1
  He runs down the hill in a hurry,1
  A MUGGER steps in his path,1
MUGGER,2
Got any spare change? How 'bout a spare twenty?,3
JORDY,2
"Look, I don't have time for you, get out of my way!!",3
MUGGER,2
"Alright, how 'bout all your fuckin' money?",3
" The Mugger pulls a knife - and in a whirl of movement, Jordy grabs his wrist and disarms him in a deadly, professional manner - hurling him down to the pavement, twisting his arm behind his back",1
"  With his other hand, Jordy whips out a BROWNING 9MM from his shoulder holster and places it behind the mugger's head",1
  Jordy displays his shield,1
JORDY,2
"Okay, you're under arrest! Now you happy?",3
MUGGER,2
Fire Department? Firemen don't carry guns,3
JORDY,2
Oh yeah? Guess again,3
 Jordy handcuffs the Mugger and searches the Mugger's coat pockets - pulling out a handful of driver's licenses and credit cards,1
JORDY (CONT'D),2
Nice - how many people you ripped off tonight?! Get up!,3
" As Jordy yanks the Mugger to his feet, his BEEPER goes off",1
JORDY (CONT'D),2
"You couldn't listen to me, could you?",3
 Jordy drags the Mugger to a tree,1
  Cuffs him so his face is pressed up against the bark,1
JORDY (CONT'D),2
I'll send a cop back for you,3
MUGGER,2
Hey,3
" C'mon, you can't leave me like this",3
 Some freak'll come by and stab me!,3
 Jordy jogs off across the park,1
MUGGER (CONT'D),2
Wait! Come back!!,3
 EXT,5
 MILOS' APARTMENT - NIGHT,5
 FIRE TRUCKS from three battalions,1
  Radios CRACKLE,1
  There's a crowd growing,1
  Jordy pushes his way through,1
  The top floor of the brownstone where Milos and Tamina lived has been reduced to smoking ruins,1
  The trees are covered in debris and soot,1
  Jordy moves to LOUIE - Battalion Chief,1
LOUIE,2
Lieutenant - take up your line and relieve Ladder Company 60 on the top floor,3
JORDY,2
"Hey, Louie, were you first due?",3
LOUIE,2
"Yeah, I radioed you guys right away 'cause you got two roasts on the top floor but you don't hafta investigate cause homicide is up there",3
JORDY,2
Homicide? Who let them up? I didn't make it a crime scene yet,3
LOUIE,2
"Hey, it's Eddie Flemming",3
KORFIN (O,2
S,2
),2
"Yo, Jordy!",3
" BOBBY KORFIN - an overweight arson investigator with a quick with and good sense of humor - comes over, pulling on a turnout coat",1
KORFIN (CONT'D),2
"Where you been, man? We got a celebrity!",3
JORDY,2
I heard,3
 Who the hell let them up there?,3
KORFIN,2
"I don't know, you think Eddie will give me his autograph?",3
JORDY,2
You see anything in the crowd? Anybody suspicious?,3
KORFIN,2
Naw - I'm sure the suspect's not here,3
JORDY,2
"Oh yeah, why?",3
KORFIN,2
'Cause Eddie woulda locked him up by now!,3
 INT,5
 MILOS' APARTMENT - NIGHT,5
 The roof is gone,1
  The sky is exposed,1
"  It's charred ruins, smoked beams and watery muck",1
"  Eddie and Leon are standing by what's left of the mattress, looking at Milos and Tamina's charred bodies",1
"  Eddie grips a half-smoked Cuban cigar, listening to Leon",1
LEON,2
"So, it looks to me - from the sixty-nine position - that they were doin' each other but were so whacked out of their heads they set the pipe on the mattress, lit it up, and they got fried",3
" What do you think, Eddie?",3
 Jordy enters - with Korfin who's carrying a paint can,1
EDDIE,2
I don't know,3
 We got the experts here,3
"  Show them what you found - I hope you don't mind, we came over to see if we could help",3
 Korfin makes a beeline for Eddie - wanting to meet the celebrity,1
KORFIN,2
"Nah, not at all",3
 Detective Flemming - Bobby Korfin,3
 My Uncle Tony worked with you at 2-1 back when you were a rookie,3
JORDY,2
Could you put out the cigar? Part of the job is picking up scents,3
EDDIE,2
"Oh, sure",3
 Eddie puts his cigar out,1
  Carefully slides it into a cigar holder and pockets it to finish later,1
LEON,2
"Well, I found - check it out - crack pipe",3
 Looks like they got careless,3
 Leon displays the pipe Emil found on the stairs,1
  Korfin shines the flashlight on Leon to look at the pipe,1
LEON (CONT'D),2
Mind not shining that light in my eyes?,3
KORFIN,2
"Sorry, bro",3
JORDY,2
"Hey, that's great you guys got it all wrapped up, but you don't mind if we go through the routine? It gives us somethin' to do",3
EDDIE,2
"No, we don't mind",3
 You mind Leon?,3
LEON,2
No,3
 Go ahead,3
JORDY,2
Thanks,3
 Appreciate it,3
 Jordy throws a look at Korfin,1
  Homicide detectives have no respect for fire marshals' investigative skills,1
  Eddie rummages through the apartment - moving into the kitchen and living room,1
" Leon watches as Korfin sticks a pencil in a charred beam, measuring how deep in it goes",1
KORFIN,2
"Okay, Jordy - it was a fast fire, we got good patterns - about thirty minutes old",3
 Jordy moves to one of the corpses,1
  He pulls on a white rubber glove,1
  Inserts his finger in the corpses mouth,1
  The glove comes out white,1
JORDY,2
"Mouth's clean, too",3
KORFIN,2
Clean?,3
JORDY,2
Don't blow your nose!,3
" Jordy's looking at Leon, who was just about to blow his nose",1
JORDY (CONT'D),2
The smoke'll permeate your nostrils - burn 'em out,3
 Let it run,3
KORFIN,2
"But you knew that, right?",3
" Leon looks at Jordy, then lowers the handkerchief",1
  Jordy turns back to the corpses on the bed,1
  Eddie - in the other room - has found Tamina's brushed gold bracelet on the floor,1
JORDY,2
"So the way you see it, two crack heads burned themselves up?",3
LEON,2
That's what it looks like to me,3
JORDY,2
"And while they're burning up, they're still goin' down on each other? You got to hand it to them",3
LEON,2
 realizes he's wrong - blows it  off,4
" Yeah, well, some people got their priorities straight",3
" Leon watches Jordy, quietly",1
"  With a pair of tweezers, Jordy pulls a small unburned piece of cloth from behind one of the heads",1
  Korfin supplies the paint can,1
  Jordy drops the cloth inside,1
LEON (CONT'D),2
What was that?,3
JORDY,2
Evidence,3
 Of a homicide,3
 That got Eddie's attention and he comes back to the bedroom,1
JORDY (CONT'D),2
"You know what that is, right?",3
EDDIE,2
"No, what is it?",3
JORDY,2
"Why don't you explain it, Bobby",3
  to a fireman joking a wall,4
 Hey Camello! You mind punching a hole in the floor?,3
CAMELLO,2
No problem,3
  to Eddie and Leon,4
" Excuse me, gentlemen",3
 You might wanna back up a little more,3
 Don't wanna get your pants wet,3
 Leon and Eddie move to higher ground - on top of a burnt TV set,1
  Eddie hands the brushed bracelet to Leon,1
"  As Camello hacks at the floor with an ax, Jordy continues to examine the bodies and Korfin explains:",1
KORFIN,2
"They have not soot in their mouths, which means they weren't breathin' before the fire and that usually means they were deceased - and this piece of cloth that my partner found means they were wrapped up in something, probably doused with a flammable liquid and positioned like this on the bed",3
" To the untrained eye, it looks like an accident",3
" Jordy kicks around the draining floor, reaches down for something",1
LEON,2
What's he looking for?,3
EDDIE,2
A timer,3
" Jordy finds some wires attached to an outlet, pulls them up - on the other end is a timer",1
  Korfin takes the timer from Jordy and moves to Eddie,1
KORFIN,2
Here you go,3
 A big double homicide,3
 EXT,5
 MILOS' APARTMENT BUILDING - NIGHT,5
" As Jordy and Korfin exit the brownstone, a CAMERA CREW is arriving",1
  Jumps out,1
  Korfin and Jordy cross toward Korfin's car,1
  They open the trunk,1
  Take off their muddy boots throwing them in,1
KORFIN,2
You see Eddie's face when I gave him the timer? Wish I had a picture of it,3
JORDY,2
He knew all along,3
KORFIN,2
What??,3
JORDY,2
That's why he was so quiet,3
 He was testing us,3
 Eddie and Leon exit - Eddie carrying a baggie with a timer inside,1
"  NICOLETTE KARAS, young and attractive, pushes her microphone at Eddie",1
"  She's smart, aggressive and respected by her peers",1
NICOLETTE,2
"Detective, does it look like a murder?",3
EDDIE,2
We don't know that yet,3
 It's much too early,3
 There's a lot to be done,3
NICOLETTE,2
How many victims are up there?,3
EDDIE,2
There are two bodies found at this point,3
NICOLETTE,2
Can we go up to the crime scene?,3
EDDIE,2
You know you can't do that,3
 C'mon,3
NICOLETTE,2
Is it drug related?,3
EDDIE,2
We don't know,3
 When I have more I'll let you know,3
" Nicolette signals for her camera man, MIKE, to zoom in on Eddie's hand",1
  She barrels on,1
NICOLETTE,2
Detective,3
what's that you're holding in your hand? Evidence?,3
 Mike pans up to Eddie's face,1
"  Other reporters arrive, hurling questions which Eddie easily answers",1
  Cameras flash as we PAN BACK TO Korfin and Jordy,1
"  Jordy is about to get in the car as he notices, back behind some construction - DAPHNE HANDLOVA",1
  She's still wearing the crumpled summer dress,1
  She tentatively steps out to signal Jordy,1
  He only catches a glimpse of her,1
  He starts toward her -- knifes through the crowd - but Daphne is gone,1
KORFIN,2
What?,3
JORDY,2
There was a woman - I think she wanted to talk to us,3
 She looked scared,3
 Oh shit! Oh no!,3
 EXT,5
 CENTRAL PARK - LATER,5
 Korfin's car SCREECHES to a stop,1
  Jordy leaps out,1
"  Suddenly, Jordy stops",1
the Mugger handcuffed to the tree is now NAKED!,1
MUGGER,2
"You motherfuckin' bastard! She stripped me! It was a bag lady! She touched me all over, it was disgusting",3
 Jordy unlocks the handcuffs,1
JORDY,2
I'm sorry,3
 I'm really sorry,3
 Korfin delivers a blanket,1
  Jordy covers him,1
JORDY (CONT'D),2
You okay?,3
MUGGER,2
A dog pissed on me!! I'm gonna sue you for this! You violated my civil rights!,3
JORDY,2
Your civil rights?! You tried to rob me! I could arrest you right now!  You're lucky you're walking away from this,3
 Now get outta here,3
 Jordy gives him a push,1
  The Mugger wraps the blanket around himself cursing - hurrying away,1
  ,0
 EXT,5
 8TH AVENUE - NIGHT,5
 Exhausted HOOKERS who have worked all night loiter outside a sleazy hotel,1
  CAMERA PANS up to a blinking hotel sign,1
 INT,5
 KING EDWARD HOTEL ROOM - NIGHT,5
 The light is blinking an eerie green and yellow light into the room,1
  Emil is at the window pulling the blind down trying to shut out the blinking light,1
  He pulls it down twice and it pops back up both times,1
"  The third time he angrily pulls it so hard, it comes off the window completely",1
  He sits down in a chair in frustration - adjusting a pillow behind his back,1
  THE ROSEANNE SHOW is on TV,1
  Roseanne has been talking to a FATHER,1
ROSEANNE (ON T,2
V,2
),2
