,0
"ANGLE - REVERSE, seen past the lounging toughs, Terminator walks naked into a pool of streetlight, striding purpose- fully toward them.",1
"ANGLE - OVER TERMINATOR'S SHOULDER, as he approaches them.",1
They slide from their perches and drop easily to the ground liquid shadows.,1
LEADER,2
"Nice night for a walk, eh?",3
Terminator stops right in front of them.,1
TERMINATOR,2
(without inflec- tion),4
Nice night for a walk.,3
"They surround him, all swagger and malign good humor.",1
SECOND PUNK,2
"Washday tomorrow, huh?  Nothing clean, right?",3
"Terminator eyes them without expression, unhurried.",1
Reptilian.,1
TERMINATOR,2
Nothing clean,3
Right.,3
LEADER,2
This guy's a couple bricks short.,3
"Terminator turn to the second punk, ignoring the others.",1
TERMINATOR,2
Your clothes,3
Give them to me.,3
"The punks exchange glances, dismayed.",1
TERMINATOR,2
(coldly),4
Now.,3
SECOND PUNK,2
(bracing),4
"Fuck you, asshole.",3
Without warning Terminator hammer-punches him in the temple with blinding speed,1
The blow flings him with a CLANG into the jungle gym,1
"He drops to the ground in a still heap, eyes open, twitching.",1
The leader whips out his SWITCHBLADE and slashes in one motion,1
Terminator ducks back and catches the knife- wielder's wrist in an inhuman grip,1
Then he punches the leader with piledriver force just below the breastbone.,1
"ANGLE - PAVEMENT, as the knife clatters down",1
"The punk's combat boots are on tiptoe, barely touching the ground.",1
"ANGLE - TWO SHOT, Terminator and the leader are close together as if dancing, but motionless",1
Their bodies are in total shadow,1
"The punk's eyes are wide, his veins distended with an agonizing pressure",1
Terminator jerks his fist back with a WET SOUND and the other drops OUT OF FRAME.,1
"The last tough is stumbling away, gaping with terror",1
"He backs into a chainlink fence, turns to run along it, finds he is in a corner.",1
"Terminator takes a step toward him, his gaze ominous.",1
The punk begins shakily stripping off his clothes.,1
Thunder peals overhead.,1
CUT TO:,0
EXT,5
STREET/NEARBY,5
NIGHT,6
A light RAIN begins to fall.,1
"Terminator emerges onto the street from the playground, pausing in the pool of light under a streetlight to hike the collar of the punk's jacket.",1
"The rain streams down over his face, running into and over his eyes",1
They do not blink.,1
CUT TO:,0
EXT,5
DOWNTOWN,5
STREET/ALLEY,5
NIGHT,6
Another part of the city,1
Seedy apartments and storefronts.,1
"The streets glisten, hissing with sporadic late night traffic.",1
SLOW PAN AND DOLLY into the mouth of a narrow alley lined with trash containers and fire escapes,1
"From a recessed doorway, two filthy legs sprawl out onto the wet pavement.",1
"An angry, inarticulate DRUNKARD'S MONOLOGUE rises occasionally above the rain sounds.",1
"ANGLE - DOORWAY,  The derelict rouses from his bitter stupor as a brilliant purple glare lights up the wet brickwork around him",1
A shockwave hurls trash into the air.,1
Painted over windows shatter.,1
"Rat scurry, blinded.",1
A FIGURE drops INTO FRAME as if out of the sky and smacks the pavement with a muddy splash.,1
C.U,1
#NAME?,1
"A NAKED MAN, compact and muscular, rises in a defensive crouch",1
"KYLE REESE is 22, but his face has been aged by ordeal, the mouth hard, eyes grim",1
A crinkled burn scar traverses one side of his face from chin to forehead,1
"Other scars, from burns and bullets, mar his hard-muscled body.",1
"The rain washes a fine coating of white ash from his skin as electrical ARCS lace back and forth between the fire escapes behind him, HISSING and SPUTTERING",1
"The sound fades, then stops altogether, to be replaced by a rising scream of animal agony.",1
Reese lurches to his feet and sprints across the alley.,1
CUT TO:,1
5A/FX   OMITTED                                                5A/FX,0
6       OMITTED                                                6,0
CAMERA MOVES WITH REESE as he leaps to the fire escape and clambers up to the first landing to crouch beside another,1
NAKED MAN who appears to be entangled in the ironwork,1
The man is contorted with pain as his screams die to a shivering gasp,1
CLOSER ANGLE reveals that he has been skewered through the abdomen by the horizontal iron slats and through the shoulder by a railing,1
He has materialized in the same space occupied by the fire escape structure,1
"The figure slumps, motionless.",1
Reese quickly checks for signs of life,1
The man is dead.,1
Reese descend to the alley floor and crosses to the drunk huddled in the doorway.,1
"A pair of flamboyantly dressed women, obviously working girls, passes by the alley mouth",1
"They do a double take when they see Reese, but walk on without breaking stride, completely jaded",1
He's certainly not a potential customer.,1
Reese crouches down as if to speak to the drunk.,1
DERELICT,2
"Say, buddy...did you see a real bright light?",3
CUT TO:,0
ALLEY/SAME ,5
NIGHT,6
A brilliant white glare stabs into the alley mouth as an,1
LAPD cruiser glides slowly by on the street,1
"The search- light illuminates the figure of Reese, crouching over the sprawled drunk, just pulling on the other's trousers.",1
The cruiser chirps to a stop,1
The doors fly open and two cops leap out.,1
FIRST COP,2
"Hold it, right there!",3
Reese hitches his pants and bolt like a shot,1
The cops draw their guns and race into the alley after him.,1
"HANDHELD CAMERA or PANAGLIDE, rushing with Reese along the narrow alley",1
He vaults a pile of tumbled trashcans.,1
Whips around a corner,1
Leaps the hood of a parked car in the cross alley.,1
"PANAGLIDE PRECEDING COPS, as they snake through the night maze.",1
CUT TO:,0
EXT,5
CROSS ALLEY,5
NIGHT,6
PANAGLIDE WITH REESE as he hits a chain link gate at a dead run and scrambles over it.,1
"WHIP PAN ON COPS, skidding to a stop at the corner in time to see Reese vault the fence",1
They separate.,1
"DOLLY WITH SECOND COP, as he runs to the gate.",1
CUT TO:,0
"LOW PANAGLIDE WITH REESE, running full tilt, displaying incredible agility.",1
"REESE'S POV, the alley walls blur by",1
The view of a hot- wired rat in an urban maze.,1
C.U,1
#NAME?,1
"ANGLE - ALLEY MOUTH, Reese flashes though intermittent cross-lighting in the B.G.",1
"Another unit arrives out front and Reese melts back into the alley, only to see a cop round the corner behind him.",1
Sandwiched,1
"Reese crashes into a steel door, rending the lock, and vanishes into the darkness within.",1
The newly arrived cops are a K-9 unit,1
They open the back door of the squad car to release a large black Doberman.,1
CUT TO:,0
INT,5
DEPARTMENT STORE,5
NIGHT,6
Reese finds himself among the display racks of a discount department store,1
A searchlight stabs in the front window as he dashes into the maze of aisles.,1
Three cops enter behind him through the shattered door.,1
"FAST PANAGLIDE WITH REESE, as he crab-runs low among the moving shadows where flashlights quarter the darkness",1
He bolts the open space behind a display window,1
Sees the outside searchlight sweep toward him,1
Freezes.,1
"ANGLE - REESE, his feral face frozen among the smooth- featured, smiling mannequins",1
"As the light passes, Reese silently moves on.",1
"ANGLE - COP, passing the end of a long aisle B.G while in the F.G a hand ENTERS FRAME, removing a knit shirt from a hanger",1
"Reese slips the shirt on quietly and does a fast crab-walk across the aisles to melt into the other racks and shadows, CAMERA MOVING LOW with him.",1
CUT TO:,0
INT,5
DEPARTMENT STORE/AISLE,5
NIGHT ,6
"With a shocking GROWL the police dog hurtles out of the shadows, LEAPING RIGHT AT CAMERA.",1
"ANGLE - REESE AND DOG, a dark blur with teeth, extremely",1
"Doberman, flies toward Reese",1
He spins,1
Catches it by the throat in mid-air,1
Arcs it to the floor with unflinching precision.,1
C.U,1
"- DOBERMAN, suddenly on its back and held by the throat,",1
"THE DOG YELPS and stares at Reese, who leans very close.",1
Inches from its eyes he fixes it with a gaze of uncompromis- ing dominance,1
Some ancient communication seems to pass between the two.,1
"Reese releases the animal and turns his back on it, selecting a long overcoat from a rack",1
"The dog backs away from him, stiff-legged and confused.",1
CUT TO:,0
 INT,5
DEPARTMENT STORE,5
NIGHT,6
"TRACKING WITH REESE as he rounds a corner on the run, still shrugging into his long coat.",1
"Running smack at him is another cop, gun aimed.",1
"Without slowing, Reese leaps toward him, twisting in mid-air like a cat",1
The cop FIRES,1
Misses,1
Goes down under Reese's tackle and they slide together on the polished floor.,1
"Before they even come to rest Reese snatches the cop's gun, aiming it at the other's face two-handed.",1
REESE,2
What day is it?  The date...,3
COP,2
Thursday...uh...May twelfth.,3
REESE,2
(viciously),4
What year?,3
A SHOT whines off the metal side of an escalator behind,1
Reese's head,1
"He vaults the escalator rail, leaving the amazed cop lying on the floor.",1
"Reese bounds up the frozen steps, pocketing the .38 Police",1
Special in his coat.,1
"Cops dash through the maze of aisles, converging at the escalators.",1
CUT TO:,0
"WHIP PANNING WITH REESE, as he hurtles between displays.",1
He stops for a moment beside a rack of shoes,1
Slaps one of a pair of tennis shoes sole-to-sole against his bare foot.,1
Too small,1
Another,1
Holding the shoes he runs on.,1
CUT TO:,0
EXT,5
SECOND FLOOR FIRE ESCAPE LANDING,5
NIGHT,6
A door opens quietly and Reese slips out.,1
CAMERA TRACKS WITH HIM as he moves like a panther along the narrow catwalk,1
TILT DOWN to include the first LAPD cruiser parked at the mouth of the alley.,1
CUT TO:,0
Reese drops cat-like beside the unattended police car.,1
"Cautiously, he opens the door of the cruiser, removes the",1
"RIOT GUN, an Ithaca pump model, from the dash rack and slips it under his coat",1
"Cradled in a vertical position, the shortened weapon is virtually invisible.",1
"He walks out onto the street and away,  unhurriedly, an innocuous pedestrian soon lost in the rain.",1
CUT TO:,0
EXT,5
STREET/NEARBY,5
NIGHT ,6
Reese enters a telephone booth,1
"Harsh light rakes across his face, outlining the long scar",1
"He opens the directory, leafs through it.",1
"ANGLE - MACRO ON PAGE, Reese's finger slides down a column.",1
Stops beside the following listings in the big metropolitan white pages,1
"CONNOR, SARAH",1
"CONNOR, SARAH ANN",1
"CONNOR, SARAH J.",1
DISSOLVE TO:,0
The night's rain has given way to a typical L.A morning of diffuse sunlight.,1
MOVING WITH A GIRL on a MOPED as she zips through traffic.,1
"SARAH CONNER is 19, small and delicate-featured",1
"Pretty in a flawed, accessible way",1
"She doesn't stop the party when she walks in, but you'd like to get to know her",1
Her vulner- able quality masks a strength even she doesn't know exists.,1
"Sarah maneuvers nimbly, apparently in a hurry.",1
CUT TO:,1
Sarah buzzes into the parking lot of Big Bob's Family,1
Restaurant and chains the moped to the icon of Big Bob himself,1
The fiberglass cherub holds up his mammoth hamburger in perpetual homage to whatever deity watches out for fat kids.,1
Sarah removes a stack of college textbooks from the luggage carrier and tuns to go into the restaurant.,1
SARAH,2
(to Big Bob),4
"Watch this for me, big buns.",3
CUT TO:,0
HIGH WIDE SHOT prominently featuring a VIDEO SURVEILLANCE,1
CAMERA F.G as Sarah enters below,1
She passes under another video eye as she crosses the main floor of the wholesomely appointed eatery,1
Sarah goes through the swinging STAFF doors under a third camera.,1
CUT TO:,0
"The office is closet-like, lit by the glow of several security monitors",1
"CHUCK BREEN, day manager, pimply and officious,watches Sarah in an overhead view of the service corridor",1
He punches a switch and reaches for a microphone on a studio gooseneck.,1
CUT TO:,0
SERVICE CORRIDOR,5
Sarah glances up as Breen's voice rasps from a ceiling speaker.,1
BREEN (V.O.),2
Sarah?,3
She answers the empty hallway.,1
SARAH,2
"Yes, Chuck?",3
BREEN,2
"Come to the office, please.",3
She turns back toward the office door at the end of the corridor.,1
CUT TO:,0
24      MANAGER'S OFFICE                                       24,5
Sarah opens the door to Breen's closet control center.,1
SARAH,2
"Mission control to Chuck, come in...",3
BREEN,2
(without looking up),4
You're late.,3
Sarah is undaunted.,1
SARAH,2
Aren't I worth waiting for?,3
BREEN,2
Not really,3
Do you think you can get here on time if I put you on the floor as a waitress?,3
SARAH,2
(grinning),4
I don't know,3
I kinda had my heart set on being a cashier the rest of my life.,3
BREEN,2
The pay's the same but you'll make more in tips.,3
SARAH,2
"Thanks, Chuck",3
I need the money,3
Can I still work the hours around my classes?,3
Breen turns to punch up a display on the restaurant's small accounting computer,1
Sarah looks over his shoulder as he modifies the week's schedule.,1
BREEN,2
Mmm,3
Same schedule's okay.,3
SARAH,2
Alright!,3
BREEN,2
(gravely),4
Can you handle it?,3
SARAH,2
"It's not brain surgery,",3
Chuck.,3
Breen hands her an apron ceremoniously.,1
BREEN,2
Here you go,3
You're a,3
Bob's Girl now,3
Nancy will check you out.,3
SARAH,2
I won't let the fat kid down.,3
CUT TO:,0
25      OMITTED                                                25,0
INT,5
LOCKER ROOM,5
DAY    ,6
"ANGLE - TIGHT ON LOCKER DOOR as it slams shut, revealing",1
"Sarah transformed into a ""Bob's Girl"".",1
Her hair is in a bun.,1
White blouse,1
Short flared skirt and apron with a bow.,1
She resembles a suburbanized peasant maid looking for a goat to milk.,1
"Sarah confronts her reflection in the mirror, pondering its absurdity.",1
She pinches her sheeks.,1
Smiles vacuously.,1
SARAH,2
"Hi, I'm Sarah and I'll be you waitress.",3
(pause),4
"I'm so wholesome, I could puke.",3
CUT TO:,0
EXT,5
PARKING LOT ,5
DAY      ,6
"TIGHT ON CAR SIDE WINDOW, as a figure approaches, reflected in the glass",1
"A fist punches through the window, shattering it",1
The thief unlocks the door and gets behind the wheel.,1
It's Terminator.,1
CUT TO:,0
With a blow from the heel of his hand Terminator smashes loose the ignition assembly and strips the wires with a brutal twist of his fingers,1
Touching the proper wires he starts the car.,1
CUT TO:,0
Terminator walks past the long display window of an enormous pawnshop emporium,1
"Signs declare, among other things, GUNS and AMMO is red block letters.",1
"Terminator passes the appliance section, and the pictures on a row of TV sets distort and break-up sequentially as he walks by, returning to normal behind him.",1
He enters the store.,1
CUT TO:,0
INT,5
PAWN SHOP,5
DAY,6
TIGHT ON GLASS COUNTERTOP as an AR-180 ASSAULT RIFLE WITH,1
SCOPE is laid beside a number of other guns a COLT K-,1
"MODEL .45 ACP, a SMITH AND WESSON .38 FOUR-INCH, a BERETTA",1
.225 ACP.,1
TERMINATOR (V.O.),2
...the Remington 1100 Autoloader...,3
"WIDE as the CLERK, who looks like a sick lizard, pallid and paunchy, takes the rifle from a wall rack",1
He lays it beside the arsenal of perfectly legal anti-human artillery already on the glass counter.,1
Terminator scans expressionlessly for additional selec- tions.,1
CLERK,2
Anything else?,3
TERMINATOR,2
A phased plasma pulse-laser in the forty watt range...,3
CLERK,2
(annoyed),4
"Just what you see, pal.",3
He indicates the display case and wall racks with a minimal gesture.,1
TERMINATOR,2
The Uzi 9 millimeter.,3
CLERK,2
(setting  it out),4
"You know your weapons, buddy.",3
"Terminator examines each in turn, working the actions with curt, precise movements.",1
CLERK,2
(continuing),4
Any one of them's ideal for home defense,3
Which'll it be?,3
TERMINATOR,2
All.,3
The clerk digs deep and finds a scrap of a smile.,1
CLERK,2
Maybe I'll close early.,3
Cash or charge?,3
"Instead of replying, Terminator takes a box of shotgun shells from a stack on the display case.",1
CLERK,2
"Sorry, I can't sell the ammo with the guns",3
You'll have to---Hey!,3
Terminator has calmly begun feeding the shells into the shotgun.,1
CLERK,2
(continuing),4
You can't to that...,3
TERMINATOR,2
(evenly),4
Wrong.,3
He raises the barrel and pulls the trigger,1
The gun THUNDERS.,1
CUT TO:,0
The yellow Maverick pulls to a stop beside a single phone booth.,1
"MOVING WITH TERMINATOR, as he gets out, walks to the booth and rapidly pulls its occupant out by his greasy T-shirt, flinging him backward into the parking lot",1
"The guy is bear-like, slab-handed, but Terminator doesn't even glance back as he steps in to take the man's place.",1
MAN,2
(outraged),4
"Hey, man...",3
CUT TO:,0
PHONE BOOTH,5
"A woman's voice, a faint reedy monologue, issues from the dangling receiver.",1
Terminator leafs rapidly through the directory.,1
ANGLE - C.U. PAGES FLIPPING,1
"ANGLE - MACRO SHOT, as Terminator's finger comes to rest beside a now-familiar listing",1
"CONNOR, SARAH",1
CUT TO:,0
INT,5
BIG BOB'S/DINING AREA,5
"Sarah is bustling about, trying to service the start of the dinner rush",1
"In waitress parlance, she's 'in it'.",1
"She runs the gauntlet between tables, precariously balancing two full dinner plates on one arm and hand-carrying a third",1
A customer tugs on her apron for attention and she barely averts contributing the chili size to his wardrobe.,1
CUSTOMER,2
"Honey, can I get that coffee now?",3
SARAH,2
"Yes sir, just a second.",3
She reaches her table after near collisions with a Mexican busboy and two teenage girls doing cheerleading routines in lock-step.,1
SARAH,2
Who gets the Burly Burger?,3
CUSTOMER TWO,2
I ordered Barbecue Beef.,3
CUSTOMER THREE,2
Does mine come with fires?,3
CUSTOMER FOUR,2
"He's got the Barbecue Beef,",3
I've got a Chili-Beef Deluxe.,3
SARAH,2
"Okay, who gets the Burly Beef?",3
CUSTOMER AT NEXT TABLE,2
"Miss, we're ready to order.",3
In the process of setting down all the plates Sarah knocks over someone's water glass.,1
SARAH,2
(mopping fran- tically),4
"Oh, sorry",3
"That's not real leather, is it?",3
"As she cleans up the spill, a kid at the next booth reaches over and dumps a scoop of ice cream into the top pouch of",1
Sarah's apron,1
She stares down at the mess melting over her hard-earned and sags with defeat,1
"NANCY, a plump, gum-chewing waitress, stops beside her to whisper.",1
NANCY,2
"Look at it this way in a hundred years, who's gonna care?",3
CUT TO:,0
ANGLE on a standard-issue L.A suburban street with kids racing Big Wheels B.G.,1
"LOW ANGLE with the FRAME comprising a single house, toy- littered lawn and mailbox",1
"EXTREME F.G., by the curb, is a CHILD'S PLASTIC TRUCK.",1
"There is the sound of a CAR ENGINE approaching, and the front of the yellow Maverick appears, stopping at the curb.",1
Its front tire  CRUSHES the toy.,1
"PANAGLIDE ON TERMINATOR, preceding him as he steps out of the car, pauses by the mailbox to check the name, and strides toward the house.",1
"A YOUNG BOY, playing in the driveway, watches him pass",1
"The boy's DOG, a small Terrier, growls low and mean, crouching back from Terminator.",1
"He rings the doorbell and waits, motionless.",1
"The door opens a few inches, held by a security chain, revealing a frail MIDDLE-AGED WOMAN in apron and rubber cleaning gloves.",1
TERMINATOR,2
Sarah Connor?,3
WOMAN,2
"No, she's upstairs",3
Who shall I say is--,3
Terminator breaks the chain and pushes past her as if she didn't exist.,1
CUT TO:,0
"PANAGLIDE ON TERMINATOR, preceding his as he crosses the foyer and mounts the stairs",1
The woman starts after him.,1
WOMAN,2
What do you think you're--,3
My God!,3
She gasps and stops in her tracks as Terminator smoothly pulls the .45 from under his jacket and snaps the cocking slide.,1
WOMAN,2
(screeching),4
Oh my God...Sarah!,3
CUT TO:,0
BEDROOM,5
Installed on her bed for an afternoon of 'soaps' is the,1
WRONG SARAH CONNOR,1
"ELECTRODE PADS exercise her doughy thighs as the 35 year old divorcee watches ""GENERAL HOSPITAL"".",1
She calls out distractedly,1
WRONG SARAH CONNOR,2
"What is it, Mom?",3
She jumps as the door BANGS open,1
"And stares in dumb amazement as the good-looking, intense-eyed man in the strange clothes raises a pistol.",1
And aims it at her face.,1
"It all seems less real than ""GENERAL HOSPITAL"" in that half-second before he FIRES.",1
CUT TO:,0
FOYER,5
The mother is fumbling with a telephone when she hears the SHOT,1
The silence stretches for several BEATS,1
Then,1
FIVE MORE SHOTS are heard.,1
The woman screams and drops the phone as she stares upward.,1
ANGLE ON CEILING above her,1
With each successive shot a chuck of plaster explodes off the ceiling.,1
CUT TO:,0
BEDROOM ,5
"LOW ANGLE ON TERMINATOR, standing with the .45 aimed down at the dead woman, just OUT OF FRAME on the floor.",1
"He unhurriedly removes the spent clip, reloads the weapon and replaces it under his jacket.",1
"Crouching down, he turns the woman's body over, confirming that she is dead.",1
CUT TO:,0
FOYER,5
The mother is frantically dialing the phone,1
"She mis- dials, starts over",1
Then stops as she hears the bedroom door open.,1
Terminator stands at the head of the stairs.,1
His hand is bloody where he grasped the dead woman's shoulder.,1
He starts down the stairs.,1
"The mother stands paralyzed, unable to breathe.",1
He reaches the main floor and walks toward her.,1
"She edges into a corner, eyes wide.",1
He reaches out.,1
And wipes his hands clean on her apron.,1
"Terminator walks out, without expression, leaving the woman to sag to the floor in a faint.",1
CUT TO:,0
SERVICE TUNNEL,5
DAY,6
TIGHT ON KYLE REESE'S HANDS as they make the last few strokes with a hacksaw to sever the wooden stock from the riot gun,1
"It clatters to the ground, leaving a short stump, like a pistol grip.",1
CUT WIDER as Reese hefts the weapon,1
He is crouched in an underground service tunnel below a busy street,1
Shadows of people walking across a grating in the sidewalk above him flicker past,1
They can't see him in the darkness below their feet as he checks the gun's action carefully,1
He slips it under his overcoat where it hangs from a jerry- rigged sling.,1
CUT TO:,0
STREET,5
"Reese emerges from a stairwell behind a service station, his overcoat done up to the top button.",1
"He walks through the sparse morning crowd on the cluttered, overbuilt commercial street.",1
He is out of sync.,1
A stranger in a strange land.,1
"He holds himself tightly reined, cautious and feral as he moves among the unconcerned pedestrians.",1
His eyes flick rapidly about.,1
He is seeing this Babylon for the first time.,1
Reese stops at a hole-in-the-wall take-out stand,1
He watches people walk away with food,1
Moves closer.,1
Scrutinizes the next man as he orders.,1
TAKE-OUT CUSTOMER,2
"Gimme a falafel with yogurt dressing and, uh, Baco-bits.",3
The counterman hands him his food and change wordlessly as Reese steps up.,1
REESE,2
"Gimme a falafel with, uh, yogurt and Baco-bits.",3
The counterman barely looks up as he passes the mess through the window.,1
COUNTERMAN,2
That'll be one-sixty.,3
He glances up and Reese is gone,1
He leans half out the window.,1
COUNTERMAN,2
(continuing),4
Hey!  Son-of-a-bitch.,3
CUT TO:,0
"Reese crouches in an alley, out of sight of passersby, wolfing his food",1
The sauce runs down his sleeve but he doesn't notice.,1
CUT TO:,0
"An old man with a shrunken, ungenerous face scowls at the menu as Sarah wipes the tabletop in front of him.",1
SARAH,2
"I haven't seen you in here lately, Mr",3
Miller.,3
MR. MILLER,2
What's it to ya?,3
SARAH,2
You must have a girlfriend.,3
MR. MILLER,2
That's none of your business.,3
SARAH,2
Aha!  Is she young?,3
Mr,1
Miller lowers his menu and glares at her.,1
MR. MILLER,2
Compared to me she is,3
How come you're not at the cash anymore?  They catch ya steal- ing?,3
SARAH,2
(smiling),4
What's it to ya?,3
"When she leaves, the old man is grinning, behind the menu, where no one can see him.",1
CUT TO:,0
"Sarah rounds the corner, walking fast as she undoes her apron",1
She calls out to the walls without looking up.,1
SARAH,2
"I'm on break, Chuck",3
Carla's got my station.,3
"As she approaches the locker room where the girls take their coffee breaks, the door bursts open and Nancy beckons to Sarah.",1
NANCY,2
(excitedly),4
Hurry up,1
It's about you...,1
I mean sort of...Come on!,1
CUT TO:,0
Nancy guides Sarah to the small black and white portable,1
TV in the corner,1
"Two other girls, smoking cigarettes with their shoes off and nyloned feet on the table, are already watching",1
One glances at Sarah.,1
WAITRESS,2
"Hey, Sarah",3
This is weird.,3
"They huddle around the set, intent on a newscast in progress.",1
TV ANCHORWOMAN,2
...and a police spokesman at the scene refused to speculate on a motive for the execution- style slaying of the Encino housewife,3
He did however say that an accurate description of the suspect has been compiled from several witnesses,3
"Once again, Sarah Connor, thirty-five, mother of two, brutally shot to death in her home this afternoon.",3
"As the news grinds on, Sarah gazes unseeingly at the screen.",1
"Nancy claps her on the shoulder, laughing.",1
NANCY,2
"You're dead, honey.",3
CUT TO:,0
 HEALTH CLUB - DUSK ,5
"Sunlight is dying when Sarah swings her moped to the curb in front of the 'GOOD LIFE SPA', a large, crowded health club.",1
CUT TO:,0
HEALTH CLUB/AEROBICS STUDIO                       ,5
MUSIC BOOMS and masses of leotarded cellulite sway in close,1
"F.G as CAMERA DOLLIES along a row of panting, stretching women",1
In deep B.G,1
"Sarah slips in through the door and waits against the wall while the human dynamo, GINGER VENTURA, leads the class energetically",1
"Ginger, Sarah's roommate, is a party-stopper",1
"Red-haired, athletic, sensuous",1
"She's pretty enough when still, but stunning in motion",1
And she's in motion.,1
Ginger yells commands and cheerfully dives into contortions to the BEAT of a MOTOWN FAVORITE.,1
"MARCO, a handsome, well-defined guy wearing a tight STAFF",1
"T-shirt, strolls up for a drink at the water fountain next to Sarah.",1
MARCO,2
Hi,3
I've seen you around.,3
You're cute,3
Cute I remember.,3
SARAH,2
I'm Sarah,3
Ginger's roommate.,3
MARCO,2
"Yeah, right",3
I'm Marco.,3
The dance tape ends.,1
GINGER,2
"...and three aaand four!  And that's it ladies!  Now, didn't that feel good?",3
The group collapses ensemble,1
A chorus of groans.,1
GINGER,2
Let's think positive or next time I'll play the FM version.,3
Ginger walks over to Sarah as the class disperses,1
"Marco is leaning on the wall next to Sarah, who is enjoying the attention.",1
SARAH,2
"...yeah, really?  Say some- thing in Italian.",3
"Before Marco can reply, Ginger pulls the front of his gym shorts out and peers down",1
She shakes her head.,1
GINGER,2
"You're wasting your time, kiddo.",3
Let's go.,3
She grabs Sarah by the arm and pulls her out the door.,1
Sarah catches a glimpse of Marco's expression over her shoulder as the door closes.,1
CUT TO:,0
"PANAGLIDE WITH THE TWO GIRLS, as they descend to the first floor and enter a hallway",1
Sarah is gasping with laughter.,1
SARAH,2
(weakly),4
I don't believe you did that.,3
Ginger is adjusting her ever-present WALKMAN-TYPE CASSETTE,1
PLAYER at her hip,1
She slips on the earphones as they walk along.,1
Sarah feigns outrage.,1
SARAH,2
(continuing),4
I had him hooked,3
He was just about to ask me out.,3
I could tell.,3
GINGER,2
That guy's a jerk,3
I did you a favor.,3
SARAH,2
I'll do the same for you sometime.,3
Sarah laughs and claps her friend on the back,1
They turn in at a door marked WEIGHT ROOM.,1
CUT TO:,0
WEIGHT ROOM               ,5
"SEVERAL ANGLES, on glistening arms, legs, torsos merging into bio-mechanical kinetic sculptures with the chrome-steel levers and tubes",1
The CRASH and SQUEAL of metal against metal.,1
"In F.G., two Conan-esque arms thrust upward, glistening.",1
"Ginger's boyfriend, MATT McCALLISTER, the assistant manager of the club, strains out his last reps, bench-pressing enormous weight on the Nautilus machine.",1
"Despite his imposing appearance, Matt is one of the warmest people you'd ever want to meet.",1
"His face is contorted, muscles knotted for the last push.",1
He heaves it up with a guttural cry.,1
"Lowering his weights with a CLANG, Matt lies panting, arms dangling at his side, eyes closed.",1
A pair of female legs appear.,1
GINGER (V.O.),2
