sentence,label
"But without the softer ore, it can be shattered like glass.",3
CUT TO:,0
"Steam rises as Corin lowers the blade into a freezing slack tub, only to place it right back into the flames.",1
CORIN,2
The softer ore is what a man lives for.,3
It is flexible and lasting.,3
"It survives, even against the greatest of foes.",3
"But too much of the soft ore, the blade will not cut deep enough when it must.",3
CUT TO:,0
"Corin fashions the blade's hilt, engraving the guard and pommel.",1
It is a work of art.,1
CORIN,2
"A sword must be tempered, the two ores united through fire and ice.",3
Through its suffering the sword comes to hold both life and death.,3
Corin hands Conan the sword.,1
CORIN,2
"Now tell me, what is this sword's purpose?",3
"Conan furrows his brow, trying to puzzle the answer.",1
He can't.,1
Corin's disappointment shows.,1
He takes the sword from Conan's hands.,1
CORIN,2
This one is not ready yet.,3
Blood rushes to Conan's face but he says nothing.,1
He rushes out.,1
EXT.,5
MOUNTAIN LAKE,5
DAY,6
"Frustrated, Conan slashes through a field of reeds, cutting everything within reach of him, expending his rage.",1
Behind him something moves in the forest.,1
"We catch just a glimpse of the PICT, the same one that escaped Conan in the earlier scene.",1
Conan's instincts cause him to spin around -- but then there's nothing there.,1
INT.,5
CIMMERIAN SCOUT POST,5
DAY,6
"Built into the side of a huge tree, fifty feet up, this wooden structure houses two CIMMERIAN SENTRIES.",1
"A BIRD CRIES in the woods, causing one of the sentries to investigate.",1
THWICK!,1
"He suddenly stands up straight, unmoving.",1
The one still sitting in the structure notices.,1
CIMMERIAN SENTRY,2
See something?,3
"The standing sentry falls backwards, revealing an ARROW piercing his right eye.",1
"Shocked, the remaining sentry reaches for the WARNING HORN mounted on the wall.",1
"But as he reaches for it, his shadow becomes three dimensional, MORPHING into A SHADOW SCOUT A thin, feral humanoid, bodies covered in tattoos, from the deepest jungles of Zingara.",1
The scout lashes out with his black sword and cuts straight across the sentry's throat.,1
This Shadow Scout's name is REMO.,1
EXT.,5
SCOUT POST,5
DAY,6
"Remo exits and stares down at CHEREN, a BLIND ARCHER clad in lamellar armor and a conical sedge hat.",1
"Cheren has an arrow notched and ready, but somehow he knows not to fire.",1
Cheren lowers his bow and lets out a BIRD WHISTLE.,1
And the forest comes alive.,1
"The forces are an odd combination; massive KUSHITE TRIBESMEN, dark-skinned savages from the savannahs of Kush, and a LEGION OF AQUILONIAN MERCENARIES, heavily armored knights drawn from the cities of Aquilonia.",1
"Their leaders, respectively, are the six foot-five Kushite chief UKAFA, gold-toothed, his body painted for battle, and the handsome, silver-armored Aquilonian LUCIUS.",1
UKAFA,2
That's the last of their guard towers.,3
LUCIUS,2
All this sneaking around for a lowly tribe of barbarians.,3
KHALAR SINGH ,2
"This lowly tribe of barbarians have buried every warrior ever to set foot on this land, Lucius.",3
"KHALAR SINGH, a warlord atop a black horse, rides through the fog-shrouded trees.",1
"He bears a nomadic visage, with tanned skin and almond-shaped eyes.",1
"While his voice is calm, his eyes burn with malice.",1
LUCIUS,2
That is only because they have never faced my legion.,3
Khalar regards Lucius with amusement.,1
KHALAR SINGH,2
Then show us.,3
"But should you fail, remember the plan.",3
Lucius scowls as he delivers a bow to Khalar Singh.,1
EXT.,5
CIMMERIAN VILLAGE,5
DAY,6
"Corin walks out of the forge, looking around for Conan.",1
"Various other Cimmerians go about the daily routine, but Conan is nowhere to be seen.",1
CORIN,2
Conan?,3
"Corin looks to the ridge above the village, noticing a thick fog creeping in.",1
"The fog curls and eddies, something is out there.",1
"Suddenly, Lucius and his legion of silver-armored warriors burst out of the fog, attacking with speed and strength.",1
But the Cimmerians are hardly caught flat footed.,1
"In seconds they are armed, and they counter the charge with a furious charge of their own.",1
SLAM!,1
Sword and bone collide as the two enemy fronts smash into each other.,1
And the battle devolves into one-on-ones -- where the barbarians have the upper hand.,1
"Uran and Corin lead the main push of battle-frenzied barbarians as they swing their huge broadswords, extending their reach advantage over the Aquilonian's shorter weapons.",1
"And quickly, the Aquilonian's numbers are cut in half.",1
Corin squares off against Lucius himself.,1
Lucius is sweating.,1
Worried.,1
It wasn't supposed to be this hard.,1
LUCIUS,2
Retreat!,3
"As a unit, the Aquilonians race back into the woods.",1
"In seconds, the Cimmerians give chase in wild pursuit.",1
CORIN,2
Wait!,3
Hold your ground!,3
"But it's too late, nearly half the Cimmerian warriors are gone on the chase.",1
EXT.,5
CLIFF FACE,5
DAY,6
Lucius and the Aquilonians race up to a sheer cliff face.,1
Nowhere left to run.,1
They turn to see the Cimmerians gathering in front of them.,1
URAN,2
"Death is in the air, invaders.",3
Can you taste it?,3
LUCIUS,2
(SMILES),4
Indeed.,3
I savor it.,3
Uran notices something is wrong.,1
His eyes go skyward.,1
"Atop the cliff stand Cheren and a dozen more of his blind archers, bows at the ready with FLAMING ARROWS.",1
"They let the arrows fly, streaking balls of flame heading right for the Cimmerians.",1
But they do not hit them.,1
They hit the tree trunks beside them.,1
"And for a moment, the Cimmerians look relieved, until they notice small bags of a black substance tied to the arrows.",1
The flames lick at the substance.,1
KABOOM!,1
The forest erupts into flames as the Cimmerian warriors are burned alive.,1
EXT.,5
MOUNTAIN LAKE,5
DAY,6
"Conan spins, started by the sound of the explosion.",1
He sees flames rising above the treetops beyond.,1
He races back home.,1
EXT.,5
CIMMERIAN VILLAGE,5
DAY,6
Corin sees the flames in the distance as well.,1
"Suddenly, Ukafa and his Kushite warriors erupt out of the forest.",1
"Armed with fearsome barbed spears they charge the remaining Cimmerians, savage against savage.",1
But the Kushites are not alone.,1
"From behind the Cimmerians comes, AKHUN, a massive four hundred pounds of flesh, wearing loops of chains like armor, leads his turbaned TURANIAN HORSEMEN into the village.",1
"The Cimmerian WOMEN arm themselves, but the Horsemen attack with NINE TAILED WHIPS pulling their swords from their hands and dragging them to the ground.",1
The Horsemen quickly gather up the women while Ukafa and his men keep the Cimmerian warriors all too occupied.,1
CONAN,2
"Conan rushes through a river, now tinged red with blood, and reaches the far end of the village.",1
"Huts burn, women are chained, only a handful of Cimmerians still stand.",1
Lucius and his Aquilonian mercenaries are helping the Spearmen slay the wounded.,1
Conan grabs a fallen sword and rushes for the nearest Aquilonian and RUNS HIM THROUGH.,1
A ZINGARAN spots him and rushes him with his spear.,1
CHARGE --,0
"Conan readies himself for the When the Zingaran loses his head, lopped off by Corin's blade.",1
CONAN,2
Father!,3
CORIN,2
Come.,3
"Corin, sporting a deep gash to his abdomen, pulls a reluctant Conan from the battle, back toward the forge.",1
INT.,5
FORGE,5
DAY,6
The flames of the forge still burn as Corin pushes Conan into the room.,1
He bolts the door behind him.,1
CONAN,2
Do we need more weapons?,3
"Corin drops his sword, then struggles to lift a heavy grating in the dirt floor.",1
Beneath it a trough of cooling water leads under the hut and away from the village.,1
CORIN,2
Go.,3
There is a hunting lodge in the North Pass with provisions.,3
CONAN,2
No!,3
I will fight!,3
"Corin grabs Conan by his tunic, pulling him up to his face.",1
Corin's eyes are half-crazed.,1
CORIN,2
"This fight is over, but yours has just begun.",3
"You wanted to be a warrior of the tribe, Conan--now you must be its last.",3
CONAN,2
"Father, I am not afraid to die.",3
CORIN,2
Good.,3
Make your death have purpose.,3
BOOM.,1
Something slams at the door.,1
It does not budge.,1
"Again, BOOM.",1
"A shadow appears under the door, sliding into the forge, and MATERIALIZING into the form of Remo.",1
Remo quickly slides away the bolt.,1
In rush enter Lucius and Ukafa.,1
"Corin and Conan face their attackers, fighting in close quarters.",1
Lucius rushes at,1
"Conan, only for Conan to duck under his attack and -- THROW HIM IN THE FIERY FORGE.",1
"Lucius SCREAMS in agony, rising up to reveal half of his formerly handsome face burned to a crisp.",1
"Corin fights Ukafa to a standstill, until Remo emerges from the shadows behind him and drives a short sword into his back.",1
Corin falls to his knees.,1
CONAN,2
No!,3
"Lucius delivers a massive backhand, sending Conan flying backwards -- and demolishing one of the Forge's main support beams.",1
"Half of the forge comes crashing down on top of Conan, pinning his bleeding form to the ground, just a few feet from his fallen father.",1
"Enraged, Lucius turns his anger to Corin, raising his sword to deliver the killing blow.",1
KHALAR SINGH ,2
I said I wanted a word with him.,3
Lucius stays his hand as Khalar Singh steps into the forge.,1
"Beside him stands the PICT who escaped from Conan earlier, grinning from ear to ear.",1
Khalar Singh hands him a bag of gold.,1
KHALAR SINGH,2
As promised.,3
PICT,0
SUBTITLED:,0
(strange dialect - Their heads.),4
You promised me their heads.,3
KHALAR SINGH,2
"All you wish, once we are gone.",3
"The Pict nods and heads off, drawing his knife.",1
"Khalar Singh stares down at Corin, sizing him up.",1
"Corin lifts up into a sitting position, back to the forge.",1
KHALAR SINGH,2
"I take no pleasure in this day, barbarian.",3
"Your people are fierce warriors, deserving of every story told of them.",3
But now you must choose the story for yourself.,3
I am Khalar Singh.,3
My army is handpicked from the best Hyboria.,3
"My second, Ukafa, and his Kushite horde.",3
Remo and his Shadow Scouts from the jungles of Zingara.,3
And countless others.,3
They all had a day like this one.,3
They all chose a way forward.,3
Into the forge walks Cherin and Akhun.,1
"The lieutenants stand behind Corin, eyeing Corin with malice.",1
"Corin catches a glimpse of Conan, buried but staring back at him, unable to move.",1
"Corin quickly turns away, careful not to give his son away.",1
CORIN,2
What is it you want?,3
KHALAR SINGH,2
"I seek neither gold nor steel, but flesh and blood.",3
The last of a royal line that goes back three thousand years.,3
Corin LAUGHS.,1
CORIN,2
Royalty in Cimmeria?,3
Never.,3
Each man is free here.,3
KHALAR SINGH,2
But I seek a woman.,3
Khalar looks outside the door of the forge.,1
The Cimmerians women are being herded by the slavers.,1
KHALAR SINGH,2
A queen in hiding.,3
Point her out and you'll spare the lives of your own.,3
CORIN,2
Perhaps even your wife?,3
"My wife was killed, long ago, by swine such as you.",3
"Khalar nods, understanding.",1
KHALAR SINGH,2
"Then our stories began in the same place, Cimmerian.",3
I too lost my wife to marauders.,3
"How many men, in how many lands have suffered so?",3
"The only answer is power, strength unfettered, the kind of which can unite all Hyboria under a single crown.",3
That is the legacy I seek.,3
Will you join me?,3
"It's a powerful, convincing speech.",1
"But Corin holds his tongue, unmoved.",1
KHALAR SINGH,2
Very well.,3
Then death will be your story.,3
Your men will die.,3
"And your women too, when I am done with them.",3
"None will survive to carry your name forth, and over time, even your enemies will forget you ever were.",3
You will be wiped from the pages of history.,3
(to his men),3
"Take your blood, but leave the kill.",3
"One by one, the lieutenants beat and stab Corin, taking pleasure in his pain.",1
"Conan struggles, trying to move, to yell, to do anything other than lie there.",1
"But a huge timber lies upon his back, pinning him to the ground.",1
KHALAR SINGH,2
Fariq!,3
Come!,3
"Entering the wrecked forge is FARIQ, the six year old son to Khalar Singh.",1
He stares at Corin's bleeding form with the dispassion of a sociopath.,1
"Khalar picks up THE SWORD Corin and Conan had forged together, the one Corin took away.",1
"He admires it, then hands it to his son.",1
He keeps a hand on it as it is too heavy for his son to lift alone.,1
He instructs his son as if teaching him multiplication.,1
KHALAR SINGH,2
Before you lies our enemy.,3
His tribe waits for him in the beyond.,3
What would you do?,3
FARIQ,2
"I would cut out his eyes, father, so that he will not find them.",3
So he will wander the afterlife forever.,3
Khalar smiles.,1
KHALAR SINGH,2
"Show me your strength, Fariq.",3
"Without it, you will never rule.",3
"With it, you will never be forgotten.",3
Fari,5
DRIVES THE SWORD INTO CORIN'S EYE. Corin doesn't make a,6
sound.,1
"Once Fariq has ripped out Corin's eyes, Khalar runs Corin through.",1
KHALAR SINGH,2
You have your desire.,3
Death has found you.,3
"Corin spits out his last words, also meant for Conan.",1
CORIN,2
Soon -- it comes for you.,3
CONAN'S POV,2
"Conan glimpses around the faces of Khalar and his men, each image seared into his memory as if ablaze.",1
KHALAR SINGH,2
Burn this place.,3
It no longer exists.,3
CUT TO:,0
EXT.,5
CIMMERIAN VILLAGE,5
DAY,6
"The forge is lit afire from a half dozen torches, thrown onto its roof and inside its windows.",1
Khalar and the other watch as the building roars into flame.,1
INT.,5
FORGE,5
DAY,6
Smoke fills the air.,1
"Conan struggles, still unable to move.",1
"He COUGHS, dying.",1
"But then the fire collapses more of the forge, and the falling beams shatter the one that pins Conan to the ground.",1
"Slowly, painfully, Conan drags himself into the cooling trough that runs beneath the hut.",1
FADE TO BLACK.,0
EXT.,5
CIMMERIAN VILLAGE,5
DAY,6
Conan exits the forge only to see the entire village burning.,1
The bodies of everyone he has ever known litter the landscape.,1
Nothing stirs.,1
Until he hears a strange CHOPPING SOUND.,1
THE PICT,2
"Conan spots the Pict, who is decapitating a dead Cimmerian warrior, adding to the collection of heads at his tattooed waist.",1
"The Pict doesn't notice as Conan slips up behind him, then RUNS HIM THROUGH.",1
"As the wide-eyed Pict dies, Conan takes the sword and CUTS A NOTCH into his arm.",1
DISSOLVE TO:,0
NOTCHED ARM,2
"Where there was once a single notch, there are now FIVE such notches, on a much broader arm that struggles to pin another powerful looking arm.",1
INT.,5
BAR,5
MESSANTIA,5
NIGHT,6
A raucous bar on the Argossean waterfront.,1
Out the window we see a port lined with Shemish galleys and junks from Kush.,1
"The bar is filled with the hearty sailors and merchants of those ships, and those who desire to part them from their hard-earned money; Zamoran thieves, Hyborean mercenaries and Brythunian whores.",1
Most of them watch the arm wrestling match taking place at the back of the bar.,1
"A pair of CITY GUARDS, short swords sheathed at their sides, enter the bar and are immediately summoned over by the harried BARKEEP.",1
BARKEEP,2
He's back there.,3
The barkeep motion to the arm wrestlers.,1
CITY GUARD #1,2
What's this one done?,3
BARKEEP,2
What's he done?!,3
What hasn't he done?,3
He's bedded six of my whores and finished off three casks of mead--and he hasn't paid so much as a silver piece for it.,3
CITY GUARD #1,2
So have your men deal with him.,3
BARKEEP,2
I did.,3
"Behind the bar, six men each hold down two HULKING MEN YELLING in agony as their horribly broken arms are snapped back into place.",1
CITY GUARD #2,2
Sounds like a real problem.,3
Too bad we have other places to be right now.,3
"The Barkeep shakes his head, knowing the routine.",1
He slips a pair of silver pieces into the soldier's hand.,1
BARKEEP,2
Just get that behemoth out of here.,3
The two City Guards make their way to the back of the bar.,1
"His back to them, the DRUNKEN MAN they're after struggles to pin his opponent, cobras beneath each of their wrists, ready to strike at the loser.",1
"A pair of voluptuous WHORES watch, caressing the Drunken Man's sinewy back.",1
"The Drunken Man YELLS in fury as he SLAMS the other man's hand down upon the cobra, which immediately bites its prey.",1
"As the soldiers arrive, the drunken victor throws his tankard of ale at the Barkeep, who's now back behind the bar.",1
DRUNKEN MAN,2
Piss-water!,3
"You'll serve my friends and I your best, barman, or you'll taste steel!",3
CITY GUARD #1,2
"Time to leave, northerner.",3
The Drunken Man turns as the City Guard puts a hand on his shoulder.,1
CONAN,2
"The gangly fifteen year old boy has grown into a powerfully built man, broad-shouldered with sun browned skin lined with battle scars.",1
Only the piercing blue eyes and square cut black mane remain from the boy we last saw.,1
"Conan stands to his full height, looming over the smaller City Guards, who instinctively take a step back.",1
CONAN,2
"No, my small friends.",3
It's time to die.,3
Conan sways.,1
The room spins.,1
He falls on his face.,1
CONAN,2
CUT TO:,0
EXT.,5
STREET,5
NIGHT,6
"Conan, unconscious, is dragged down the street by the two City Guards.",1
CITY GUARD #1,2
(STRUGGLING),4
"Now, Who's first?",3
"By the gods, he's as heavy as a horse.",3
CITY GUARD #2,2
Even a dead horse smells better than this.,3
EXT.,5
PRISON YARD,5
NIGHT,6
The City Guards drag Conan into a broad prison yard.,1
"Many of the INMATES are shackled together, hacking with picks at the rock walls on their work detail.",1
Those in no condition to break rock are left in their own filth to rot.,1
"Some are even dead already, the rats gnawing at the remains.",1
INT.,5
PRISON GUARDHOUSE,5
NIGHT,6
"The two City Guards drag Conan into the guardhouse, where a LIEUTENANT sits eating his dinner.",1
The Lieutenant doesn't even bother to look up from his meal.,1
LIEUTENANT,2
What's the charge?,3
CITY GUARD #2,2
Public drunkenness.,3
Another damn hill ape who can't handle his liquor.,3
LIEUTENANT,2
"Is that so, boy?",3
How do you plead?,3
Conan yawns in response.,1
"One of the City Guards slaps Conan, hard, across the face.",1
Conan slowly opens his eyes.,1
CONAN,2
Where's the Captain of the Guard?,3
"SCREAMS OF PAIN come from down the hall, past a locked door.",1
LIEUTENANT,2
"In the cells, interrogating a prisoner.",3
And you'll get the same if you don't answer.,3
You're accused of public drunkenness.,3
How do you plead?,3
CONAN,2
"In truth, I've been guilty of much.",3
"Jewels stolen from the crowns of kings, men's heads split in battle for the price of a night's drink.",3
But through that I've searched and waited and hunted my prey.,3
"Suddenly Conan shifts upright, looking more sober than he did a moment ago.",1
CONAN,2
But drink?,3
Haven't had a drop all night.,3
"The guards holding Conan up by his arms, suddenly find those arms wrapped around their heads.",1
"Twist, twist.",1
SNAP.,1
SNAP.,1
He breaks both their necks in an instant.,1
The Lieutenant is horrified.,1
He goes for his sword.,1
"Conan bats it out of his hand, slamming his head against the back wall.",1
CONAN,2
The key to the cells.,3
LIEUTENANT,2
I don't have it.,3
There's a guard inside the door.,3
Only he can open it.,3
Conan picks up the Lieutenant's sword.,1
LIEUTENANT,2
You can't kill me!,3
He'll only open the door for me!,3
A FLASH OF STEEL as Conan delivers a blow.,1
CUT TO:,0
INT.,5
CELLS,5
NIGHT,6
A GUARD sits on a stool next to a heavy metal door.,1
"Behind him, the CAPTAIN OF THE GUARD beats a chained ONE-EYED PRISONER to a pulpy mess.",1
There's a KNOCK at the door.,1
GUARD #1,2
What is it?,3
MUFFLED VOICE ,2
Need to see the Captain.,3
"The Guard exhales, frustrated.",1
"He stands up, getting his keys out.",1
He stops.,1
Opens the small EYEHOLE to see into the other room.,1
The Lieutenant stares back at him.,1
GUARD #1,2
"Fine, fine.",3
He opens the door.,1
"Only to see Conan standing there, holding the decapitated head of the Lieutenant.",1
The shocked Guard goes for his sword.,1
"Conan swings the Lieutenant's head, smashing it into the Guard's jaw and putting him down for the count.",1
That's when the Captain of the Guard turns around.,1
And WE RECOGNIZE HIM!,1
"He's LUCIUS, the disfigured Aquilionian who was one of Khalar Singh's lieutenants.",1
LUCIUS,2
Men!,3
"From around a corner come five more Guards, drawing their weapons.",1
Lucius draws his as well.,1
LUCIUS,2
"You've made a huge mistake, ape.",3
You'll never make it out of this place.,3
CONAN,2
"I came for you, Lucius.",3
"Lucius nods to the guards, who advance on Conan.",1
LUCIUS,2
"You talk as though you know me, ape.",3
CONAN,2
I do.,3
And I am no ape.,3
I am Cimmerian.,3
"As recognition crosses Lucius' face, Conan springs into action.",1
"He KICKS the table at the men, sending the knives and other torture implements flying right into the first guard.",1
The second guard tries leaping over the falling table.,1
Conan just grabs him in midair and throws him even faster into the iron bands of the prisoner cells.,1
"Lucius lunges at Conan, Conan steps in on him, grabbing his sword hand.",1
LUCI,5
S' FOOT AND DEEP INTO THE WOOD FLOOR BELOW.,6
"In a show of strength, he twists Lucius' own sword until points down at the floor, then THRUSTS IT THROUGH Lucius BELLOWS in pain, pinned to the spot.",1
"The next three Guards rush forward, forcing Conan to deal with three weapons attacks at once.",1
The first to strike swings a mace and chain that wraps around Conan's sword and he tries to yank it free from Conan's grip.,1
"Instead, Conan pulls him in a wide circle, sending him flying into a wall-mounted torch.",1
The guard burns like dry kindling.,1
"The second to strike hits Conan on his sword hand, carving a deep gash and causing him to drop his sword.",1
"Conan turns to face him, eyes filled with rage.",1
The guard's face goes pale.,1
"Conan head butts him with all his might and the guard goes down, bleeding from mouth, nose and ears.",1
