sentence,label
Mary mother of God ...,3
Attention is turned away from the boy -- The sea is no longer empty.,1
WRECKAGE from a ship litters the water... along with the bodies of its crew.,1
"What is left of the ship's hull BURNS, a ragged British flag hanging limply from the stern.",1
The H.M.S.,1
Dauntless slips silently through it all.,1
The scene calls for hushed voices.,1
SWAN,2
What happened here?,3
NORRINGTON,2
An explosion in the powder magazine.,3
Merchant vessels run heavily armed.,3
GIBBS,2
Lot of good it did them...,3
(off Swan's look),4
Everyone's thinking it!,3
I'm just saying it!,3
Pirates!,3
SWAN,2
There is no proof of that.,3
It could have been an accident.,3
"Captain, these men were protection.",3
"If there is even the slightest chance one of those poor devils is still alive, we cannot abandon them!",3
NORRINGTON,2
"Of course not, Governor.",3
(to the crew),4
Come about and strike the sails!,3
Unlash the boats!,3
Gunnery crew... jackets off the cannons!,3
(to Swann),4
Hope for the best...prepare for the worst.,3
(to two sailors),4
Move the boy aft.,3
We'll need the deck clear.,3
They lift the boy.,1
"Swann pulls Elizabeth away from the rail, away from the hideous scene in the water.",1
SWAN,2
"Elizabeth, I want you to accompany the boy.",3
He's in your charge now.,3
You'll watch over him?,3
Elizabeth nods gravely.,1
Swann hurries away to help unstow the longboat.,1
"The sailors lay the boy gently on the poop deck, behind the wheel, then hurry off.",1
Elizabeth kneels down besides the boy.,1
His good looks are not lost on her.,1
"She reaches out, gently brushes the blond hair from his eyes -- Suddenly, he grabs her wrist, awake now.",1
"Elizabeth is startled, but their eyes lock.",1
She takes his hand in hers.,1
ELIZABETH,2
My name is Elizabeth Swann.,3
WILL,2
Will Turner.,3
ELIZABETH,2
"I'm watching over you, Will.",3
"He clutches her hands, then slips back into unconsciousness.",1
His movement has opened the collar of his shirt; Elizabeth sees he wears a chain around his neck.,1
"She tugs it free, revealing-- A GOLD MEDALLION.",1
One side is blank.,1
She turns it over -- A SKULL gazes up at her.,1
"Vaguely Aztec in design, but to her eyes, it means one thing only:",1
ELIZABETH,2
You're a pirate.,3
She glances back at the crew.,1
"Sees Norrington, giving orders, moving toward her.",1
She looks back at Will comes to a quick decision.,1
Takes the medallion from around his neck.,1
Hides it under her coat.,1
Norrington arrives.,1
NORRINGTON,2
Did he speak?,3
ELIZABETH,2
His name is Will Turner that's all I found out.,3
NORRINGTON,2
Very good.,3
Norrington hurries off.,1
Elizabeth steals away to the stern of the ship.,1
Examines her prize the gold medallion.,1
"A wisp of wind, and she looks up -- Out over the sea, moving through the fog, silent as a ghost, is a large sailing ship, a schooner -- It has BLACK SAILS.",1
"Elizabeth stares, too frightened to move, or cry out.",1
The ship is obscured by the fog it as it passes but not the mizzen-top ... and there hangs the frightening skull and crossbones of the Jolly Roger.,1
Elizabeth looks from it to the medallion the skull on the flag is the same as the one on the medallion.,1
Fog surrounds and closes in on the black ship except for the black flag.,1
"As Elizabeth watches, the skull appears to TURN and GRIN at her -- Elizabeth shuts her eyes tight --",1
EIGHT YEARS LATER,2
INT.,5
GOVERNOR'S MANSION - ELIZABETH'S BEDROOM,5
"and then snap open again, startled wide with fear.",1
"But this is no longer twelve-year-old Elizabeth standing on the stern of the Dauntless; this is twenty-year-old Elizabeth, lying in bed in the dark.",1
"She remains motionless (were the images we just saw a nightmare, or a jumbled childhood memory?)",1
Elizabeth slowly looks as far out the corner of her eyes as possible without moving.,1
"Might there be someone in the room with her, looming over her?",1
"She turns, ready for anything.",1
She is alone.,1
"Elizabeth sits up, turns up the flame on an oil lamp besides the canopied bed.",1
"She carries the lamp across the room to a dressing table, sits down.",1
"She pulls one of the small drawers all the way out, reaches into a space beneath it and removes -- The MEDALLION.",1
She has kept it all this time.,1
It has not lost its luster or its sense of menace.,1
"She gazes at it as she absently returns the draw to its place -- A BOOMING knock on the door; Elizabeth jumps up, startled knocking over her chair.",1
SWANN,2
Elizabeth?,3
Is everything all right?,3
Are you decent?,3
ELIZABETH,2
Yes yes.,3
"She puts the medallion on, throws on a dressing gown as Swann enters, carrying a large box.",1
"A uniformed maid, ESTRELLA, follows.",1
SWANN,2
Still abed at this hour?,3
It's a beautiful day!,3
"Estrella pulls back the heavy curtains, revealing: Beneath a blue sky lies the bucolic town of PORT ROYAL, built on a natural harbor.",1
"On a bluff at the mouth of the harbor stands FORT CHARLES, its stone parapets lined with cannon.",1
SWANN,2
I have a gift for you.,3
"He opens the boxes, and displays for her a gorgeous velvet dress.",1
She lets out an admiring gasp.,1
ELIZABETH,2
It's beautiful.,3
May I inquire as to the occasion?,3
SWANN,2
Is an occasion necessary for a father to dote upon his daughter with gifts?,3
"Elizabeth happily takes it, disappears behind a screened- off dressing area.",1
"Estrella follows, carrying the box.",1
SWANN,2
Although...I did think you could wear it to the ceremony today.,3
ELIZABETH,2
Ceremony?,3
SWANN,2
Captain Norrington's promotion ceremony.,3
Elizabeth peeks around the screen.,1
ELIZABETH,2
I knew it.,3
SWANN,2
"Or, rather, Commodore Norrington...a fine gentleman, don't you think?",3
(no answer),4
"He fancies you, you know.",3
"Behind the screen, Elizabeth GASPS.",1
SWANN,2
Elizabeth?,3
How's it coming?,3
ON ELIZABETH -- She holds her hair and the medallion (still around her neck) out of the way as the maid cinches her into a corset over her slip.,1
Estrella has her foot in Elizabeth's back as she pulls the laces tight.,1
ELIZABETH,2
Difficult ... to say.,3
SWANN,2
I'm told that dress is the very latest fashion in London.,3
ELIZABETH,2
(holding her breath),4
Women in London must have learned to not breath.,3
Estrella is finished.,1
Elizabeth takes a breath and winces.,1
A butler appears in the doorway of the room.,1
BUTLER,2
Governor?,3
A caller is here for you.,3
INT.,5
GOVERNOR'S MANSION - FOYER,5
DAY,6
"The caller, dressed in rough clothing, stands in the foyer, looking very out of place, and knowing it.",1
He holds a long presentation case.,1
"He polishes the toes of his boots on the back of his calves, but it doesn't help.",1
SWANN,2
"Ah, Mr. Turner!",3
It's good to see you again!,3
The caller turns it is WILL TURNER.,1
"Handsome, with a watchful demeanor that gives him weight beyond his years.",1
WILL,2
"Good day, sir.",3
(holds out the case),4
I have your order.,3
"Swann hurries to him, opens the case.",1
Inside is a beautiful dress sword and scabbard.,1
Swann takes it out reverently.,1
WILL,2
WILL,2
The blade is folded steel.,3
That's gold filigree laid into the handle.,3
If I may -,3
"He takes the sword from Swann, and balances it on one finger at the point where the blade meets the guard.",1
WILL,2
Perfectly balanced.,3
The tang is nearly the full width of the blade..,3
SWANN,2
Impressive.,3
.. very impressive.,3
"Commodore Norrington will be pleased, I'm sure.",3
Do pass my compliments on to your master.,3
Will's face falls.,1
"Clearly, the work is his, and he is proud of it.",1
"With practiced ease, he flips the sword around, catches it by the hilt and returns it to the case.",1
WILL,2
(bows slightly),4
I shall.,3
A craftsman is always pleased to hear his work is appreciated --,3
"He stops speaking abruptly, staring past Swann - Elizabeth stands on the stairs.",1
"Granted, the dress may be painful to wear, but holy smokes!",1
SWANN,2
Elizabeth!,3
You look stunning!,3
"Will tries to speak, but can't.",1
"He gives up, smiles to himself, and simply nods emphatically.",1
ELIZABETH,2
Will!,3
It's so good to see you!,3
Her hand goes to the chain around her throat (the medallion is hidden in the bodice of her dress).,1
ELIZABETH,2
I dreamt about you last night.,3
"Will reacts with surprise: ""Really?",3
SWANN,2
"Elizabeth, this is hardly appropriate -",3
ELIZABETH,2
(ignores her father),4
About the day we met.,3
Do you remember?,3
WILL,2
"I could never forget it, Miss Swann.",3
ELIZABETH,2
"Will, how many times must I ask you to call me 'Elizabeth'?",3
WILL,2
"At least once more, Miss Swann.",3
As always.,3
Elizabeth is disappointed and a little hurt by his response.,1
SWANN,2
Well said!,3
There's a boy who understands propriety.,3
"Now, we must be going.",3
"Swann takes the case from Will, opens the door for Elizabeth.",1
"Elizabeth straightens her back, gathers her skirts and strides past Will.",1
ELIZABETH,2
"Good day, Mr. Turner.",3
EXT.,5
GOVERNOR'S MANSION,5
DAY,6
Swann follows Elizabeth out the door.,1
WILL,2
Good day.,3
He watches as she is helped aboard a carriage by the driver.,1
WILL,2
(to himself),4
Elizabeth.,3
IN THE CARRIAGE: Swann glowers at his daughter.,1
SWANN,2
"Dear, I do hope you demonstrate a bit more decorum in front of Commodore Norrington.",3
"After all, it is only through his efforts that Port Royal has become at all civilized.",3
EXT.,5
PORT ROYAL - HARBOR,5
DAY,6
"The skeletal remains of four pirates, still clad in buccaneer rags, hang from gallows erected on a rocky promontory.",1
"There is a fifth, unoccupied gallows, bearing a sign:",1
PIRATES - YE BE WARNED.,5
The top of a billowing sail passes regally in front of them.,1
"On the landward face of the sail, apparently high in the rigging, is a man for whom the term 'swashbuckling rogue' was coined: Captain JACK SPARROW.",1
He gazes keen-eyed at the display as they pass.,1
Raises a tankard in salute.,1
"Suddenly, something below catches his attention.",1
"He jumps from the rigging and that's when we see that his is ship is not an imposing three-master, but just a small fishing dory with a single sail, plowing through the water the Jolly Mon.",1
And it leaks.,1
Which is why he has the tankard: to bail.,1
"Jack steps back to the tiller, and using a single sheet to control the sail, and the Jolly Mon comes around the promontory, the whole of Port Royal laid out before him.",1
"The huge British dreadnought, H.M.S.",1
Dauntless dominates the bay.,1
But Jack's attention is on a different ship: the H.M.S.,1
"Interceptor, a small sleek vessel with rail guns and a mortar in the middle of the main deck.",1
"It is tied up at the Navy landing, at the base of the cliffs below Fort Charles.",1
EXT.,5
PORT ROYAL - DOCKS,5
DAY,6
"Smoothly and with no wasted movement, Jack hauls down the sail, stows it, guides the dory alongside a dock.",1
"The HARBORMASTER, a long ledger tucked under his arm, is there to catch a line and help Jack tie up.",1
HARBORMASTER,2
"If you're out rolling scuppers in this tub, you're either incredibly brave or incredibly stupid.",3
JACK,2
It's remarkable how often those two traits coincide.,3
"He starts up the dock, strapping on his sword belt; besides the scabbard, it also carries a compass, pistol and small powder horn.",1
The Harbormaster cuts him off.,1
HARBORMASTER,2
"It's a shilling for the dock space, and you're going to have to give me your name.",3
JACK,2
"What do you say to three shillings, and we forget the name?",3
He tosses three shillings onto the ledger.,1
"The Harbormaster considers, then shuts the ledger on the coins, steps aside.",1
HARBORMASTER,2
"Welcome to Port Royal, Mr. Smith.",3
Jack gives him a half-salute as he goes past.,1
Looks across the water toward the Interceptor and smiles.,1
"Above the Interceptor, among the parapets of Fort Charles, a ceremony is underway -",1
EXT.,5
FORT CHARLES,5
DAY,6
"With choreographed precision, Swann removes the sword and scabbard from the presentation case, held by a uniformed Navy man.",1
"He slides the sword into the scabbard, holds it out vertically to Norrington, in full dress uniform.",1
"Norrington grasps the scabbard above Swann's hand, and Swann lets go.",1
"Norrington draws the sword, flourishes the sword, and snaps the blade up in front of his face.",1
"Swann steps forward, pins a medal to Norrington's jacket, steps back.",1
"Norrington nods, turns smartly and nods to his fellow officers, turns again and nods to the audience - dignitaries, merchants, plantation owners, their families.",1
"Another flourish, and he returns the sword to its scabbard.",1
The silence is broken by loud APPLAUSE.,1
Backslapping from the Navy men.,1
"In the audience, Elizabeth doesn't look so good, out beneath the hot sun.",1
"She applauds briefly, then winces.",1
"Discreetly tries to adjust the corset through the material of the dress, then resumes clapping, trying to hide her discomfort.",1
EXT.,5
PORT ROYAL - NAVY DOCK,5
DAY,6
"Two sailors on sentry duty, MURTOGG and MULLROY, take advantage of what little shade there is on the dock.",1
"But when Jack saunters up, they are immediately on alert.",1
MURTOGG,2
This dock is off-limits to civilians.,3
JACK,2
"Sorry, I didn't know.",3
Music drifts down from Fort Charles.,1
"Jack looks up, shields his eyes.",1
JACK,2
"Some sort of to-do up at the fort, eh?",3
You two weren't invited?,3
MURTOGG,2
No ... someone has to make sure this dock stays off-limits to civilians.,3
JACK,2
This must be some important boat.,3
MULLROY,2
Ship.,3
JACK,2
Ship.,3
MURTOGG,2
Captain Norrington's made it his flagship.,3
He'll use it to hunt down the last dregs of piracy on the Spanish Lake.,3
MULLROY,2
Commodore.,3
MURTOGG,2
Right.,3
Commodore Norrington.,3
JACK,2
"That's a fine goal, I'm sure ...",3
But it seems to me a ship like that --,3
(indicates the Dauntless),4
makes this one here just a wee superfluous.,3
MURTOGG,2
"Oh, the Dauntless is the power in these waters, true enough but there's no ship that can match the Interceptor for speed.",3
JACK,2
That so?,3
"I've heard of one, supposed to be fast, nigh uncatchable ... the Black Pearl?",3
Mullroy scoffs at the name.,1
MULLR0Y,2
There's no real ship as can match the Interceptor.,3
MURTOGG,2
The Black Pearl is a real ship.,3
MULLROY,2
"No, it's not.",3
MURTOGG,2
Yes it is.,3
I've seen it.,3
MULLR0Y,2
You've seen it?,3
MURTOGG,2
Yes.,3
MULLROY,2
You've seen the Black Pearl?,3
MURTOGG,2
Yes.,3
MULLR0Y,2
You haven't seen it.,3
MURTOGG,2
"Yes, I have.",3
MULLR0Y,2
You've seen a ship with black sails that's crewed by the damned and captained by a man so evil that hell itself spat him back out?,3
MURTOGG,2
... No .,3
MULLROY,2
No.,3
MURTOGG,2
But I've seen a ship with black sails.,3
MULLR0Y,2
"Oh, and no ship that's not crewed by the damned and captained by a man so evil hell itself spat him back out could possibly have black sails and therefore couldn't possibly be any ship other than the Black Pearl.",3
Is that what you're saying?,3
MURTOGG,2
... no.,3
MULLR0Y,2
(turns back to Jack),4
"Like I said, there's no real ship as can match -- Hey!",3
But Jack's not there.,1
"Murtogg and Mullroy look around, spot",1
-,0
"Jack standing at the wheel of the Interceptor, casually examining the mechanism.",1
MULLROY,2
You!,3
Jack looks over in exaggeratedly innocent surprise.,1
The sailors hurry toward the gangplank.,1
MULLROY,2
Get away from there!,3
You don't have permission to be aboard there!,3
Jack spreads his hands in apology.,1
JACK,2
I'm sorry.,3
It's just such a pretty boat.,3
Ship.,3
The sailors study him suspiciously.,1
MURTOGG,2
What's your name?,3
JACK,2
Smith.,3
MULLR0Y,2
"What's your business in Port Royal, 'Mr.",3
Smith' ?,3
MURTOGG,2
And no lies!,3
JACK,2
None?,3
Very well.,3
You've rumbled me.,3
"I confess: I intend to commandeer one of these ships, pick up a crew in Tortuga, and go out on the account, do a little honest pirating.",3
MURTOGG,2
"I said, no lies.",3
MULLR0Y,2
I think he's telling the truth.,3
MURTOGG,2
He's not telling the truth.,3
MULLROY,2
He may be.,3
MURTOGG,2
If he were telling the truth he wouldn't have told us.,3
JACK,2
"Unless, of course, he knew you wouldn't believe the truth if he told it to you.",3
Murtogg and Mullroy consider that point --,1
EXT.,5
FORT CHARLES,5
DAY,6
"Elizabeth, pale and perspiring, fans herself weakly, oblivious to the music and chatter.",1
NORRINGTON,2
May I have a moment?,3
He extends his arm.,1
She takes it.,1
"He walks her away from the party, toward the parapet.",1
A rather too long of a silence as Norrington works up his courage.,1
NORRINGTON,2
(a burst),4
You look lovely.,3
Elizabeth.,3
"Elizabeth frowns, unable to focus.",1
Norrington mistakes her expression as disapproval.,1
NORRINGTON,2
I apologize if I seem forward but I must speak my mind.,3
NORRINGTON,2
(working up his,4
confidence to do so),4
This promotion confirms that I have accomplished the goals I set for myself in my career.,3
But it also casts into sharp relief that which I have not achieved.,3
The thing all men most require: a marriage to a fine woman.,3
(beat),4
"You have become a fine woman, Elizabeth.",3
ELIZABETH,2
I can't breathe.,3
NORRINGTON,2
(smiles),4
"I'm a bit nervous, myself --",3
"Elizabeth loses her balance, stumbles away from Norrington.",1
"She reaches a hand out to the parapet to steady herself, but it slides off and then she vanishes over the wall.",1
Gone.,1
NORRINGTON,2
Elizabeth!,3
EXT.,5
PORT ROYAL - NAVY DOCKS,5
DAY,6
"Jack reacts, pushes Murtogg aside to see - Elizabeth plummets from the top of the cliff.",1
"It seems to take her a long time to reach the sea -- Elizabeth hits the water, narrowly missing the sharp rocks.",1
"A wave breaks, and then she is washed out away from the cliff, struggling feebly.",1
"AT THE FORT, Norrington looks down --",1
NORRINGTON ELIZABETH!,5
"He leaps to the top of the parapet, prepared to dive a lieutenant, GILLETTE catches his arm.",1
GILLETTE,2
"The rocks, sir!",3
It's a miracle she missed them!,3
"Norrington shakes off his arm, looks down and realizes Gillette is right.",1
He jumps down and runs --,1
EXT.,5
PORT ROYAL - NAVY DOCKS,5
DAY,6
"Jack, Murtogg and Mullroy are still in shock from the sight.",1
JACK,2
Aren't you going to save her?,3
MULLR0Y,2
I can't swim.,3
Murtogg shakes his head neither does he.,1
JACK,2
(rolls his eyes),4
Sailors.,3
Above where Elizabeth struggles in the water.,1
Norrington and several other men pick their way down the cliffs.,1
They are too far away to get to her in time.,1
Jack scowls.,1
He has no choice and it pisses him off.,1
JACK,2
Fine.,3
"He pulls a pistol from his sword belt, hands it to Murtogg; then hands the belt to Mullroy.",1
JACK,2
Don't lose these.,3
"And then he dives into the water, swims toward Elizabeth.",1
"Elizabeth struggles to keep above water, gasping for air '- then a swell rolls over her, and she is submerged - UNDERWATER, Elizabeth drifts down, unconscious.",1
"The current turns her, and the MEDALLION slips loose from her bodice.",1
"The MEDALLION turns slowly, until the SKULL is fully visible.",1
"A shaft of filtered sunlight hits it, and it GLINTS",1
-,0
EXT.,5
PORT ROYAL - VARIOUS,5
DAY,6
"FORT CHARLES: The British flag flies, blown from an offshore breeze.",1
"Suddenly the wind dies, and the flag goes limp.",1
ON THE DOCKS: Wood and metal fittings on lines bang against masts.,1
"The wind dies, and there is silence.",1
"ON THE EDGE OF TOWN: A CARIBE WOMAN feeds clucking chickens, frowns when they all suddenly go quiet ...",1
IN THE VILLAGE: A weather vane moves slightly in the wind.,1
"The wind stops, and all is still.",1
"And then ... ... the weather vane TURNS, and holds steady the wind has picked up again, but now blows .from the sea toward the land.",1
"l)ON THE BEACH: an OLD SALT pulls a rope line, pauses.",1
"Turns and gazes to the sky, frowning.",1
"The mangy hound at his side starts BARKING incessantly - ON THE DOCKS: The lines bang against the other sides of the masts, the wind far stronger now.",1
"FORT CHARLES: the British flag flies in the opposite direction, snapping in the new onshore breeze.",1
EXT.,5
PORT ROYAL - CLIFFSIDE,5
DAY,6
"Norrington rushes down, intent on the climb.",1
"Beyond him, past the rocky point, far out to sea, FOG gathers -",1
EXT.,5
PORT ROYAL - OCEAN,5
DAY,6
UNDERWATER: the medallion hangs below Elizabeth's unmoving form and then Jack is there.,1
He wraps an arm around her and makes for the surface.,1
"ON THE SURFACE, Jack swims toward the dock, struggling.",1
It is .,1
: far more difficult than it should be.,1
"He stops stroking, and they submerge.",1
UNDERWATER: Jack realizes that it is Elizabeth's heavy velvet dress that is weighing them down.,1
"He pulls at the buttons on the back, and they give way.",1
"He skins her out of the dress, and kicks away from it.",1
"The dress falls like a cloud into darkness - ON THE SURFACE: Jack swims with Elizabeth, much more quickly.",1
"AT THE DOCK, Murtogg and Mullroy are there to help haul Elizabeth out of the water.",1
"Jack climbs up, exhausted.",1
"Elizabeth is on her back; Murtogg holds her arms above her head, pumping them.",1
Mullroy puts his cheek to her nose and mouth.,1
MULLROY,2
Not breathing.,3
Murtogg looks down; it seems hopeless.,1
"Jack steps up, drawing Murtogg's knife from its sheath.",1
JACK,2
Move.,3
"He pushes past Mullroy, kneels over Elizabeth, raises the knife -- Murtogg is shocked - Jack slits the corset down the middle, yanks it away.",1
Elizabeth remains still.,1
"And then she coughs up water and gasps, choking on her first full breath.",1
Jack is relieved.,1
MULLROY,2
I never would have thought of that.,3
JACK,2
"Clearly, you've never been to Singapore.",3
Jack flips the knife and hands it hilt-first to Murtogg - and that's when he spots - The MEDALLION.,1
"Jack catches it up in his ""hand.",1
JACK,2
Where did you get this?,3
"Before Elizabeth can answer, the BLADE of a SWORD is at Jack's THROAT -- Norrington's new ceremonial sword, in fact, looking bright and sharp.",1
NORRINGTON,2
On your feet.,3
"It looks bad -- Jack standing over Elizabeth, most of her clothes gone.",1
He gets to his feet.,1
"The rest of Elizabeth's erstwhile rescuers reach the scene, including Swann.",1
SWANN,2
Elizabeth!,3
Are you all right?,3
"He strips off his jacket, drapes it around her.",1
ELIZABETH,2
"Yes yes, I'm fine Commodore Norrington, do you intend to kill my rescuer?",3
Norrington looks at Jack.,1
Jack nods as best he can with a blade beneath his chin.,1
"Norrington sheathes his sword, and extends his hand.",1
NORRINGTON,2
I believe thanks are in order.,3
Jack takes Norrington's hand gingerly.,1
"They shake and Norrington tightens his grip, yanks Jack's arm toward him, then tears back the sleeve of Jack's shirt exposing a BRAND on Jack's inner wrist: a large 'P.'",1
NORRINGTON,2
"Had a brush-up with the East India Trading Company, did you ... pirate?",3
"The others react in shock, but the sailors are well-trained in an instant, half a dozen pistols are aimed at Jack.",1
"He stands there, still holding the corset.",1
NORRINGTON,2
"Keep your guns on him, men.",3
"Gillette, fetch some irons.",3
Norrington notices something else below the 'P' brand is a tattoo: a small bird in flight across water.,1
NORRINGTON,2
"Well, well... Jack Sparrow, isn't it?",3
JACK,2
Captain Jack Sparrow.,3
If you please.,3
Norrington looks out at the bay.,1
NORRINGTON,2
I don't see your ship -- Captain.,3
MURTOGG,2
He said he'd come to commandeer one.,3
MULLROY,2
(to Murtogg),4
I told you he was telling the truth.,3
(currying favor),4
"These are his, sir.",3
He holds out Jack's pistol and belt.,1
"Norrington takes the pistol, examines it, notes the powder horn on Jack's belt.",1
NORRINGTON,2
(to Jack),4
"Extra powder, but no additional shot.",3
Jack shrugs.,1
"Norrington unhooks the compass from the belt, opens it.",1
He frowns at the reading.,1
"Moves the compass this way and that, keeping it parallel to the ground.",1
NORRINGTON,2
It doesn't bear true.,3
"Jack looks away, a bit embarrassed.",1
Norrington returns the compass to the belt.,1
Draws the sword half from the scabbard.,1
NORRINGTON,2
I half-expected it to be made of wood.,3
"He slides it back into the scabbard, hands it to Mullroy.",1
NORRINGTON,2
"Taking stock: you've got a pistol with only one shot, a compass that doesn't point north ... and no ship.",3
You are without a doubt the worst pirate I have ever heard of.,3
JACK,2
"Ah, but you have heard of me.",3
"Gillette returns with shackles, approaches Jack.",1
NORRINGTON,2
"Carefully, lieutenant.",3
Elizabeth steps forward.,1
Swann's jacket slips off her.,1
"She is unconcerned, but he is intent on putting it back on her.",1
ELIZABETH,2
"Commodore, I must protest.",3
"Pirate or not, this man saved my life.",3
NORRINGTON,2
One good deed is not enough to redeem a man of a lifetime of wickedness.,3
Gillette snaps the manacles closed on Jack's wrists.,1
JACK,2
But it seems to be enough to condemn him.,3
NORRINGTON,2
(smiles),4
Indeed.,3
"Now that Jack is safely chained, Norrington nods to his men.",1
"All but one stow their weapons, and two step forward -",1
JACK,2
Finally.,3
"Lightning-quick, he snaps the corset around the hand and wrist of the man holding the pistol and yanks.",1
The pistol sails into the water.,1
"Before anyone can react to that, Jack has the manacle chain wrapped around Elizabeth's throat.",1
"Pistols are drawn again, but now Elizabeth serves as a shield.",1
Norrington raises a cautioning hand to his men.,1
JACK,2
"(backing away, toward land)",4
"Commodore Norrington ... my pistol and belt, please.",3
"Norrington hesitates, balls his fists in frustration.",1
JACK,2
Commodore!,3
Mullroy hands the pistol and belt to Norrington.,1
Norrington holds them out to Jack.,1
JACK,2
Elizabeth it is Elizabeth?,3
Elizabeth is more angry than frightened.,1
ELIZABETH Miss Swann.,1
JACK,2
"Miss Swann, if you'll be so kind?",3
"She takes the belt and pistol from Norrington -- Jack's quicker than she is, and takes the pistol from her.",1
"He jerks her around so she is facing him, belly to belly.",1
JACK,2
"Now, if you'll be very kind?",3
She figures out what he wants: put the belt on him.,1
ELIZABETH,2
(as she works),4
You are despicable.,3
JACK,2
I saved your life; now you've saved mine.,3
We're square.,3
Done.,1
"He turns her again, and then backs up until he bumps against the cargo gantry.",1
JACK,2
Gentleman.,3
.. m' lady.,3
.. you will always remember this as the day you almost caught Captain Jack Sparrow.,3
"He shoves Elizabeth away, grabs a rope and pulls free a belaying pin a counterweight drops and Jack is lifted up to the middle of the gantry, where he grabs a second rope - Pistols fire and miss.",1
"Jack swings out, out, out, away and around from the gantry.",1
Norrington has held his shot.,1
"With careful aim, he tracks Jack's trajectory- Jack drops from the rope even as Norrington FIRES.",1
"His shot tears the rope as Jack plummets past one of the gantry's guy lines, he snaps the length of manacle chain over the line and grabs hold of the far loop slides down the line drops to the deck of a ship.",1
"He runs, leaping to another ship, then out of sight -",1
NORRINGTON,2
On his heels!,3
"Gillette, bring a squad down from the fort!",3
(to Elizabeth),4
"Elizabeth, are you -",3
ELIZABETH,2
"Yes, I'm all right, I'm fine!",3
Go capture him.,3
"Norrington's taken aback by her ire, and wisely hurries away.",1
Swann drapes his coat around Elizabeth.,1
SWANN,2
"Here, dear ... you should wear this.",3
"Elizabeth shivers, finding suddenly that she is cold.",1
Glances out at the bay where a THICK FOG moves across the top of the water.,1
She takes the jacket.,1
ELIZABETH,2
"Thank you, Father ... and let that be the last of your fashion advice, please.",3
But she accepts his comforting embrace.,1
